"","alpha","Ecoregion_NARS","Year","PropID","AreaSampTot_m2","Agency","Gen_ID_Prop","SiteNumber","landuse"
"20",36,"NAP",12,0.5,1.022,"EPA",0.725409836065574,"NEWS04-1202","Forest_Wetland"
"21",34,"NAP",12,0.133,1.022,"EPA",0.691823899371069,"NEWS04-1302","Forest_Wetland"
"22",26,"NAP",12,0.233,1.022,"EPA",0.94140625,"NEWS04-1410","Forest_Wetland"
"23",42,"NAP",12,0.4,1.022,"EPA",0.89799635701275,"NEWS04-1801","Forest_Wetland"
"24",28,"NAP",12,0.267,1.022,"EPA",0.673704414587332,"NEWS04-1903","Forest_Wetland"
"25",41,"NAP",12,0.267,1.022,"EPA",0.793680297397769,"NEWS04-2101","Forest_Wetland"
"26",48,"NAP",12,0.1,1.022,"EPA",0.825819672131147,"NEWS04-2502","Forest_Wetland"
"27",23,"NAP",12,0.1,1.022,"EPA",0.843525179856115,"NEWS04-2805","Forest_Wetland"
"28",36,"NAP",12,0.367,1.022,"EPA",0.751012145748988,"NEWS04-2907","Forest_Wetland"
"29",37,"NAP",12,0.167,1.022,"EPA",0.830795262267343,"NEWS04-3206","Forest_Wetland"
"30",23,"NAP",12,0.6,1.022,"EPA",0.776447105788423,"NEWS04-3406","Urban"
"31",26,"NAP",12,0.667,1.022,"EPA",0.909819639278557,"NEWS04-3504","Forest_Wetland"
"32",20,"NAP",12,0.1,1.022,"EPA",0.903339191564148,"NEWS04-3802","Forest_Wetland"
"33",29,"NAP",12,0.35,0.929,"EPA",0.827534039334342,"NEWS04-3901","Forest_Wetland"
"34",35,"NAP",12,0.333,1.022,"EPA",0.873046875,"NEWS04-4003","Urban"
"35",27,"NAP",12,0.433,1.022,"EPA",0.79467680608365,"NEWS04-4104","Forest_Wetland"
"36",35,"NAP",12,0.5,1.022,"EPA",0.85838779956427,"NEWS04-CT03","Forest_Wetland"
"37",33,"NAP",12,0.3,1.022,"EPA",0.867424242424242,"NEWS04-CT05","Forest_Wetland"
"38",37,"NAP",12,0.133,1.022,"EPA",0.70042194092827,"NEWS04-ME05","Forest_Wetland"
"39",31,"NAP",12,0.333,1.022,"EPA",0.869565217391304,"NEWS04-NH01","Forest_Wetland"
"40",33,"NAP",12,0.233,1.022,"EPA",0.85546875,"NEWS04-NH03","Forest_Wetland"
"41",35,"NAP",12,0.2,1.022,"EPA",0.82992125984252,"NEWS04-RI01","Forest_Wetland"
"42",34,"NAP",12,0.3,1.022,"EPA",0.897306397306397,"NEWS04-ST03","Forest_Wetland"
"43",43,"NAP",12,0.133,1.022,"EPA",0.735714285714286,"NEWS04-ST04","Forest_Wetland"
"44",36,"NAP",12,0.333,1.022,"EPA",0.783393501805054,"NEWS04-VT01","Forest_Wetland"
"45",43,"SAP",12,0.467,1.022,"EPA",0.918625678119349,"NRS_AL-10005","Forest_Wetland"
"46",26,"SAP",17,0.270855904658722,1.022,"EPA",0.94280442804428,"NRS_AL-10005","Forest_Wetland"
"47",28,"SAP",17,0.916590284142988,1.022,"EPA",0.385496183206107,"NRS_AL-10006","Forest_Wetland"
"48",24,"SAP",12,0.533,1.022,"EPA",0.865530303030303,"NRS_AL-10010","Forest_Wetland"
"49",34,"SAP",17,0.58343057176196,1.022,"EPA",0.790697674418605,"NRS_AL-10010","Forest_Wetland"
"50",32,"SAP",17,0.666666666666667,1.022,"EPA",0.926032660902978,"NRS_AL-10019","Urban"
"51",19,"SAP",12,0.5,1.022,"EPA",0.806509945750452,"NRS_AL-10020","Forest_Wetland"
"52",26,"SAP",17,0.625,1.022,"EPA",0.777153558052434,"NRS_AL-10020","Forest_Wetland"
"53",43,"SAP",12,1,1.022,"EPA",0.863636363636364,"NRS_AL-10023","Forest_Wetland"
"54",25,"SAP",17,0.687285223367698,1.022,"EPA",0.882462686567164,"NRS_AL-10023","Forest_Wetland"
"55",40,"CPL",12,1,1.022,"EPA",0.966777408637874,"NRS_AL-10024","Forest_Wetland"
"56",14,"CPL",17,0.5,1.022,"EPA",0.908045977011494,"NRS_AL-10024","Forest_Wetland"
"57",21,"SAP",17,1,1.022,"EPA",0.665929203539823,"NRS_AL-10026","Other"
"58",41,"SAP",12,0.667,1.022,"EPA",0.869070208728653,"NRS_AL-10029","Forest_Wetland"
"59",51,"SAP",17,0.458295142071494,1.022,"EPA",0.859301227573182,"NRS_AL-10029","Forest_Wetland"
"60",43,"SAP",17,0.416666666666667,1.022,"EPA",0.763940520446097,"NRS_AL-10032","Forest_Wetland"
"61",24,"SAP",21,0.333300003333,1.022,"EPA",0.784584980237154,"NRS_AL-10032","Forest_Wetland"
"62",28,"CPL",27,0.996115150911445,0.372,"EPA",0.931034482758621,"NRS_AL-10034","Forest_Wetland"
"63",17,"CPL",21,1,0.651,"EPA",0.919354838709677,"NRS_AL-10046","Forest_Wetland"
"64",22,"CPL",21,0.8124796880078,1.022,"EPA",0.80511811023622,"NRS_AL-10049","Forest_Wetland"
"65",32,"CPL",17,0.750187546886722,1.022,"EPA",0.651428571428571,"NRS_AL-10051","Forest_Wetland"
"66",21,"CPL",21,0.260403104005,1.022,"EPA",0.195612431444241,"NRS_AL-10051","Forest_Wetland"
"67",33,"CPL",27,1,1.022,"EPA",0.864476386036961,"NRS_AL-10051","Forest_Wetland"
"68",12,"CPL",17,1,1.022,"EPA",0.801541425818882,"NRS_AL-10053","Forest_Wetland"
"69",24,"CPL",17,0.947867298578199,1.022,"EPA",0.903474903474903,"NRS_AL-10058","Forest_Wetland"
"70",23,"CPL",17,0.5,1.022,"EPA",0.879541108986616,"NRS_AL-10061","Forest_Wetland"
"71",30,"CPL",22,1,1.022,"EPA",0.859649122807018,"NRS_AL-10067","Forest_Wetland"
"72",10,"CPL",27,0.468757324333193,1.022,"EPA",0.828343313373254,"NRS_AL-10069","Forest_Wetland"
"73",38,"SAP",22,0.833333333333333,1.022,"EPA",0.967184801381693,"NRS_AL-10072","Forest_Wetland"
"74",33,"SAP",21,1,1.022,"EPA",0.845394736842105,"NRS_AL-10083","Forest_Wetland"
"75",31,"SAP",21,0.218799229826711,1.022,"EPA",0.903409090909091,"NRS_AL-10084","Forest_Wetland"
"76",32,"SAP",21,0.604193100114797,0.836,"EPA",0.855263157894737,"NRS_AL-10085","Agriculture"
"77",26,"CPL",21,0.489596083231334,1.022,"EPA",0.962264150943396,"NRS_AL-10086","Forest_Wetland"
"78",28,"SAP",21,0.52080620801,1.022,"EPA",0.86527514231499,"NRS_AL-10087","Forest_Wetland"
"79",40,"SAP",21,0.583294447036864,1.022,"EPA",0.942857142857143,"NRS_AL-10088","Forest_Wetland"
"80",24,"CPL",26,1,1.022,"EPA",0.95,"NRS_AL-10092","Forest_Wetland"
"81",15,"CPL",26,1,1.022,"EPA",0.830396475770925,"NRS_AL-10094","Forest_Wetland"
"82",26,"SAP",26,1,1.022,"EPA",0.888324873096447,"NRS_AL-10095","Forest_Wetland"
"83",27,"CPL",27,0.166666666666667,1.022,"EPA",0.920542635658915,"NRS_AL-10106","Forest_Wetland"
"84",24,"SAP",12,1,1.022,"EPA",0.977011494252874,"NRS_AR-10016","Forest_Wetland"
"85",28,"SAP",16,1,1.022,"EPA",0.738095238095238,"NRS_AR-10016","Forest_Wetland"
"86",33,"SAP",12,0.733,1.022,"EPA",0.831395348837209,"NRS_AR-10017","Forest_Wetland"
"87",21,"SAP",17,0.729394602479942,1.022,"EPA",0.783088235294118,"NRS_AR-10017","Forest_Wetland"
"88",14,"CPL",17,1,1.022,"EPA",0.982919254658385,"NRS_AR-10025","Agriculture"
"89",13,"SAP",16,1,1.022,"EPA",0.932432432432432,"NRS_AR-10040","Forest_Wetland"
"90",10,"CPL",12,1,0.743,"EPA",0.348837209302326,"NRS_AR-10052","Agriculture"
"91",15,"CPL",17,0.969932104752667,1.022,"EPA",0.55026455026455,"NRS_AR-10052","Agriculture"
"92",26,"CPL",12,0.567,1.022,"EPA",0.567829457364341,"NRS_AR-10055","Agriculture"
"93",23,"SAP",21,0.440509228668341,1.022,"EPA",0.922794117647059,"NRS_AR-10063","Forest_Wetland"
"94",33,"SAP",26,0.833333333333333,1.022,"EPA",0.885148514851485,"NRS_AR-10063","Forest_Wetland"
"95",35,"SAP",21,1,1.022,"EPA",0.9,"NRS_AR-10067","Forest_Wetland"
"96",26,"SAP",26,1,1.022,"EPA",0.898218829516539,"NRS_AR-10067","Forest_Wetland"
"97",26,"SAP",17,1,1.022,"EPA",0.945626477541371,"NRS_AR-10072","Agriculture"
"98",22,"SAP",21,0.333300003333,1.022,"EPA",0.942965779467681,"NRS_AR-10072","Agriculture"
"99",13,"CPL",17,0.385356454720617,1.022,"EPA",0.166979362101313,"NRS_AR-10074","Agriculture"
"100",14,"CPL",21,0.38099592334362,1.022,"EPA",0.566854990583804,"NRS_AR-10074","Agriculture"
"101",36,"SAP",17,0.750187546886722,0.743,"EPA",0.886148007590133,"NRS_AR-10078","Forest_Wetland"
"102",24,"SAP",17,0.244021473889702,1.022,"EPA",0.901119402985075,"NRS_AR-10091","Agriculture"
"103",28,"SAP",17,0.562429696287964,1.022,"EPA",0.929856115107914,"NRS_AR-10109","Forest_Wetland"
"104",22,"SAP",21,0.625,1.022,"EPA",0.836466165413534,"NRS_AR-10109","Forest_Wetland"
"105",23,"SAP",26,1,1.022,"EPA",0.877149877149877,"NRS_AR-10109","Forest_Wetland"
"106",19,"SAP",17,0.25,1.022,"EPA",0.91699604743083,"NRS_AR-10112","Forest_Wetland"
"107",21,"SAP",17,0.666666666666667,1.022,"EPA",0.850877192982456,"NRS_AR-10116","Forest_Wetland"
"108",21,"CPL",17,0.25,1.022,"EPA",0.881422924901186,"NRS_AR-10117","Agriculture"
"109",30,"SAP",17,0.58343057176196,1.022,"EPA",0.936538461538462,"NRS_AR-10125","Forest_Wetland"
"110",20,"SAP",17,0.166666666666667,0.929,"EPA",0.958174904942966,"NRS_AR-10127","Agriculture"
"111",28,"SAP",17,1,1.022,"EPA",0.920096852300242,"NRS_AR-10129","Forest_Wetland"
"112",9,"CPL",17,0.279798545047566,0.558,"EPA",0.709737827715356,"NRS_AR-10133","Agriculture"
"113",28,"SAP",17,1,1.022,"EPA",0.881974248927039,"NRS_AR-10134","Forest_Wetland"
"114",18,"SAP",17,0.541711809317443,1.022,"EPA",0.840130505709625,"NRS_AR-10135","Forest_Wetland"
"115",12,"CPL",17,0.25,1.022,"EPA",0.885658914728682,"NRS_AR-10137","Agriculture"
"116",22,"SAP",17,1,1.022,"EPA",0.890449438202247,"NRS_AR-10138","Forest_Wetland"
"117",7,"CPL",17,0.0736593989393046,1.022,"EPA",0.909270216962525,"NRS_AR-10140","Agriculture"
"118",17,"SAP",17,0.374953130858643,1.022,"EPA",0.92364990689013,"NRS_AR-10142","Forest_Wetland"
"119",13,"SAP",17,1,1.022,"EPA",0.605214152700186,"NRS_AR-10143","Forest_Wetland"
"120",9,"CPL",17,1,1.022,"EPA",0.273006134969325,"NRS_AR-10144","Agriculture"
"121",20,"SAP",17,0.130208333333333,1.022,"EPA",0.942342342342342,"NRS_AR-10145","Forest_Wetland"
"122",23,"SAP",17,0.604229607250755,1.022,"EPA",0.84688995215311,"NRS_AR-10157","Forest_Wetland"
"123",12,"CPL",17,0.357142857142857,0.929,"EPA",0.691910499139415,"NRS_AR-10167","Agriculture"
"124",12,"SAP",17,0.0729181857955374,0.929,"EPA",0.53690036900369,"NRS_AR-10172","Agriculture"
"125",16,"SAP",17,0.750187546886722,1.022,"EPA",0.951178451178451,"NRS_AR-10179","Urban"
"126",9,"SAP",17,1,0.836,"EPA",0.72,"NRS_AR-10187","Agriculture"
"127",20,"CPL",17,1,1.022,"EPA",0.709302325581395,"NRS_AR-10200","Forest_Wetland"
"128",21,"CPL",26,0.440470422411135,1.022,"EPA",0.834932821497121,"NRS_AR-10203","Forest_Wetland"
"129",20,"CPL",21,0.833333333333333,1.022,"EPA",0.947955390334573,"NRS_AR-10204","Forest_Wetland"
"130",28,"SAP",21,0.656297171359191,1.022,"EPA",0.964285714285714,"NRS_AR-10205","Forest_Wetland"
"131",28,"SAP",26,1,1.022,"EPA",0.763688760806916,"NRS_AR-10205","Forest_Wetland"
"132",28,"SAP",21,0.291698267312292,1.022,"EPA",0.847426470588235,"NRS_AR-10206","Forest_Wetland"
"133",25,"SAP",26,0.208333333333333,1.022,"EPA",0.736220472440945,"NRS_AR-10206","Forest_Wetland"
"134",30,"SAP",21,0.166700006668,1.022,"EPA",0.768551236749117,"NRS_AR-10212","Forest_Wetland"
"135",13,"CPL",21,0.260403104005,1.022,"EPA",0.351063829787234,"NRS_AR-10214","Forest_Wetland"
"136",23,"SAP",21,0.333300003333,1.022,"EPA",0.798534798534799,"NRS_AR-10217","Forest_Wetland"
"137",13,"CPL",26,1,1.022,"EPA",0.966312056737589,"NRS_AR-10222","Agriculture"
"138",20,"SAP",26,0.27083389757062,1.022,"EPA",0.310834813499112,"NRS_AR-10226","Forest_Wetland"
"139",19,"CPL",26,1,1.022,"EPA",0.990049751243781,"NRS_AR-10230","Forest_Wetland"
"140",12,"CPL",26,0.0468750732423019,1.022,"EPA",0.975881261595547,"NRS_AR-10236","Agriculture"
"141",17,"SAP",26,0.583328472262731,1.022,"EPA",0.891992551210428,"NRS_AR-10238","Forest_Wetland"
"142",25,"SAP",26,0.31380424890953,0.929,"EPA",0.612648221343874,"NRS_AR-10239","Forest_Wetland"
"143",23,"SAP",26,0.15625,1.022,"EPA",0.966269841269841,"NRS_AR-10241","Agriculture"
"144",23,"XER",8,0.15,1.022,"EPA",0.841392649903288,"NRS_AZ-10012","Other"
"145",18,"XER",17,0.0297619047619048,1.022,"EPA",0.905241935483871,"NRS_AZ-10012","Other"
"146",20,"WMT",8,0.325,1.022,"EPA",0.67984934086629,"NRS_AZ-10041","Other"
"147",17,"XER",8,0.0333,1.022,"EPA",0.911067193675889,"NRS_AZ-10059","Other"
"148",22,"XER",17,0.19790223629527,1.022,"EPA",0.951020408163265,"NRS_AZ-10059","Other"
"149",15,"XER",10,0.2083,1.022,"EPA",0.870967741935484,"NRS_AZ-10081","Other"
"150",17,"XER",17,0.25,1.022,"EPA",0.994106090373281,"NRS_AZ-10081","Other"
"151",23,"WMT",9,0.5833,1.022,"EPA",0.812267657992565,"NRS_AZ-10174","Forest_Wetland"
"152",20,"WMT",17,0.25,1.022,"EPA",0.939962476547842,"NRS_AZ-10174","Forest_Wetland"
"153",27,"WMT",11,1,1.022,"EPA",0.913838120104439,"NRS_AZ-10311","Forest_Wetland"
"154",18,"WMT",17,0.140627197299958,1.022,"EPA",0.953125,"NRS_AZ-10311","Forest_Wetland"
"155",2,"XER",17,0.15852885225111,1.022,"EPA",0.654440154440154,"NRS_AZ-10432","Other"
"156",3,"XER",21,0.0573000229200092,1.022,"EPA",0.702199661590524,"NRS_AZ-10432","Other"
"157",14,"XER",27,0.0625,1.022,"EPA",0.961538461538462,"NRS_AZ-10432","Other"
"158",26,"XER",17,0.161446561188247,1.022,"EPA",0.872113676731794,"NRS_AZ-10435","Other"
"159",27,"XER",22,0.25,1.022,"EPA",0.972727272727273,"NRS_AZ-10435","Other"
"160",22,"XER",17,0.625,1.022,"EPA",0.957142857142857,"NRS_AZ-10437","Other"
"161",27,"WMT",17,0.874890638670166,1.022,"EPA",0.898897058823529,"NRS_AZ-10441","Other"
"162",18,"WMT",17,0.0625,1.022,"EPA",0.835420393559928,"NRS_AZ-10457","Other"
"163",22,"WMT",17,1,1.022,"EPA",0.916167664670659,"NRS_AZ-10461","Other"
"164",14,"XER",17,1,1.022,"EPA",0.772563176895307,"NRS_AZ-10463","Other"
"165",23,"XER",17,0.0297619047619048,1.022,"EPA",0.861480075901328,"NRS_AZ-10488","Other"
"166",9,"XER",17,0.0535704719558579,1.022,"EPA",0.469473684210526,"NRS_AZ-10503","Agriculture"
"167",23,"XER",17,0.179694519317161,1.022,"EPA",0.975285171102662,"NRS_AZ-10513","Other"
"168",19,"XER",17,0.166666666666667,1.022,"EPA",0.940594059405941,"NRS_AZ-10520","Other"
"169",23,"XER",17,0.812347684809098,1.022,"EPA",0.93040293040293,"NRS_AZ-10547","Other"
"170",26,"XER",17,0.0468757324333193,1.022,"EPA",0.792843691148776,"NRS_AZ-10552","Other"
"171",22,"XER",17,0.048828125,1.022,"EPA",0.82312925170068,"NRS_AZ-10568","Other"
"172",22,"WMT",17,0.0357142857142857,1.022,"EPA",0.891143911439114,"NRS_AZ-10584","Forest_Wetland"
"173",16,"WMT",21,1,1.022,"EPA",0.765917602996255,"NRS_AZ-10584","Forest_Wetland"
"174",9,"XER",17,0.333333333333333,1.022,"EPA",0.281496062992126,"NRS_AZ-10607","Other"
"175",10,"WMT",17,0.145836371591075,1.022,"EPA",0.988950276243094,"NRS_AZ-10612","Other"
"176",9,"XER",22,0.25,1.022,"EPA",0.981718464351006,"NRS_AZ-10619","Other"
"177",30,"XER",22,0.0714000114240018,1.022,"EPA",0.966911764705882,"NRS_AZ-10625","Other"
"178",20,"XER",27,0.0208333333333333,1.022,"EPA",0.96455223880597,"NRS_AZ-10625","Other"
"179",27,"WMT",21,0.161699788173277,1.022,"EPA",0.890438247011952,"NRS_AZ-10626","Other"
"180",25,"WMT",27,0.166666666666667,1.022,"EPA",0.954901960784314,"NRS_AZ-10626","Other"
"181",12,"XER",22,0.906289650172195,1.022,"EPA",0.948669201520912,"NRS_AZ-10634","Other"
"182",24,"XER",22,1,1.022,"EPA",0.557692307692308,"NRS_AZ-10643","Other"
"183",16,"WMT",22,0.666711114074272,1.022,"EPA",0.68503937007874,"NRS_AZ-10654","Forest_Wetland"
"184",12,"XER",21,0.181399314310592,0.836,"EPA",0.46875,"NRS_AZ-10657","Other"
"185",17,"XER",27,0.291664236131366,1.022,"EPA",0.981167608286252,"NRS_AZ-10662","Other"
"186",28,"WMT",22,0.11000011000011,1.022,"EPA",0.926499032882012,"NRS_AZ-10665","Other"
"187",12,"WMT",27,0.25,1.115,"EPA",0.974025974025974,"NRS_AZ-10665","Other"
"188",9,"WMT",21,0.25,1.022,"EPA",0.335664335664336,"NRS_AZ-10670","Forest_Wetland"
"189",16,"WMT",27,1,1.022,"EPA",0.893805309734513,"NRS_AZ-10670","Forest_Wetland"
"190",25,"WMT",22,0.0625,1.022,"EPA",0.908771929824561,"NRS_AZ-10675","Forest_Wetland"
"191",22,"WMT",27,1,1.022,"EPA",0.916492693110647,"NRS_AZ-10675","Forest_Wetland"
"192",23,"WMT",21,0.10420031468495,1.022,"EPA",0.949119373776908,"NRS_AZ-10679","Forest_Wetland"
"193",27,"XER",22,0.273403324584427,1.022,"EPA",0.71455938697318,"NRS_AZ-10680","Forest_Wetland"
"194",18,"XER",22,0.0714000114240018,1.022,"EPA",0.877061469265367,"NRS_AZ-10685","Other"
"195",7,"WMT",27,1,1.022,"EPA",0.969529085872576,"NRS_AZ-10690","Forest_Wetland"
"196",18,"WMT",27,0.562492968837889,1.022,"EPA",0.962476547842402,"NRS_AZ-10695","Forest_Wetland"
"197",18,"XER",27,0.0416666666666667,1.022,"EPA",0.977358490566038,"NRS_AZ-10701","Agriculture"
"198",14,"WMT",27,0.328127050794067,0.929,"EPA",0.979553903345725,"NRS_AZ-10729","Other"
"199",14,"XER",27,0.5,1.022,"EPA",0.971880492091388,"NRS_AZ-10730","Other"
"200",25,"WMT",8,0.0333,1.022,"EPA",0.892523364485981,"NRS_CA-10003","Forest_Wetland"
"201",17,"WMT",17,0.140627197299958,1.022,"EPA",0.967416602017067,"NRS_CA-10003","Other"
"202",31,"WMT",8,0.2125,1.022,"EPA",0.828451882845188,"NRS_CA-10087","Forest_Wetland"
"203",25,"WMT",17,0.157505118916365,1.022,"EPA",0.840869565217391,"NRS_CA-10087","Forest_Wetland"
"204",14,"XER",9,0.125,1.022,"EPA",0.910536779324056,"NRS_CA-10124","Urban"
"205",18,"XER",16,0.0625,1.022,"EPA",0.915924826904055,"NRS_CA-10124","Urban"
"206",26,"WMT",9,0.15,1.022,"EPA",0.483809523809524,"NRS_CA-10150","Other"
"207",19,"WMT",16,0.0625,1.022,"EPA",0.731683168316832,"NRS_CA-10150","Other"
"208",36,"XER",10,0.05,1.022,"EPA",0.615853658536585,"NRS_CA-10165","Other"
"209",29,"XER",16,0.2,1.022,"EPA",0.778604651162791,"NRS_CA-10165","Other"
"210",41,"XER",9,0.0625,1.022,"EPA",0.931034482758621,"NRS_CA-10207","Other"
"211",37,"XER",17,0.458295142071494,1.022,"EPA",0.882769472856019,"NRS_CA-10207","Other"
"212",33,"WMT",9,0.0875,1.022,"EPA",0.781779661016949,"NRS_CA-10285","Forest_Wetland"
"213",29,"WMT",16,0.0625,1.022,"EPA",0.738831615120275,"NRS_CA-10285","Forest_Wetland"
"214",26,"XER",9,0.125,1.022,"EPA",0.881048387096774,"NRS_CA-10300","Other"
"215",21,"XER",16,0.0288500375050488,1.022,"EPA",0.829308909242298,"NRS_CA-10300","Other"
"216",28,"XER",9,0.1625,0.836,"EPA",0.462012320328542,"NRS_CA-10304","Other"
"217",34,"XER",16,0.0833333333333333,1.022,"EPA",0.857963875205255,"NRS_CA-10304","Other"
"218",23,"WMT",9,0.0938,1.022,"EPA",0.954838709677419,"NRS_CA-10333","Other"
"219",28,"WMT",16,0.0625,1.022,"EPA",0.912425149700599,"NRS_CA-10333","Forest_Wetland"
"220",36,"XER",10,0.05,1.022,"EPA",0.972111553784861,"NRS_CA-10352","Forest_Wetland"
"221",31,"XER",16,0.0234400637569734,1.022,"EPA",0.932343234323432,"NRS_CA-10352","Forest_Wetland"
"222",37,"WMT",10,0.2917,1.022,"EPA",0.936575052854123,"NRS_CA-10359","Forest_Wetland"
"223",46,"WMT",11,0.8125,1.022,"EPA",0.769076305220884,"NRS_CA-10359","Forest_Wetland"
"224",24,"WMT",16,0.0234400637569734,1.022,"EPA",0.867480383609416,"NRS_CA-10359","Forest_Wetland"
"225",13,"XER",10,0.1,1.022,"EPA",0.806706114398422,"NRS_CA-10416","Urban"
"226",26,"XER",17,0.0625,0.929,"EPA",0.652688172043011,"NRS_CA-10416","Urban"
"227",36,"WMT",10,0.2,1.022,"EPA",0.895705521472393,"NRS_CA-10458","Forest_Wetland"
"228",29,"WMT",16,0.1,1.022,"EPA",0.867226890756303,"NRS_CA-10458","Forest_Wetland"
"229",20,"XER",16,0.2,1.022,"EPA",0.921150278293135,"NRS_CA-10779","Forest_Wetland"
"230",13,"XER",21,1,1.022,"EPA",0.361556064073227,"NRS_CA-10779","Forest_Wetland"
"231",39,"XER",27,NA,1.022,"EPA",0.948356807511737,"NRS_CA-10779","Forest_Wetland"
"232",16,"XER",17,0.43122035360069,1.022,"EPA",0.965116279069767,"NRS_CA-10784","Other"
"233",20,"XER",21,0.125,1.022,"EPA",0.822429906542056,"NRS_CA-10784","Other"
"234",21,"XER",26,0.09000009000009,1.022,"EPA",0.905084745762712,"NRS_CA-10784","Other"
"235",27,"WMT",17,0.143740117866897,1.022,"EPA",0.985037406483791,"NRS_CA-10798","Forest_Wetland"
"236",24,"WMT",21,0.142857142857143,1.022,"EPA",0.901303538175047,"NRS_CA-10798","Forest_Wetland"
"237",13,"XER",17,0.515729757607014,1.022,"EPA",0.908442330558858,"NRS_CA-10800","Forest_Wetland"
"238",29,"WMT",17,0.437445319335083,1.022,"EPA",0.920302013422819,"NRS_CA-10808","Forest_Wetland"
"239",38,"WMT",21,0.2,1.022,"EPA",0.950177935943061,"NRS_CA-10808","Forest_Wetland"
"240",28,"XER",17,0.19790223629527,1.022,"EPA",0.820857863751051,"NRS_CA-10816","Other"
"241",25,"XER",21,0.0909090909090909,1.022,"EPA",0.934782608695652,"NRS_CA-10816","Other"
"242",30,"XER",27,NA,1.022,"EPA",0.932835820895522,"NRS_CA-10816","Other"
"243",33,"WMT",16,0.05,1.022,"EPA",0.860576923076923,"NRS_CA-10833","Forest_Wetland"
"244",38,"WMT",21,0.25,1.022,"EPA",0.706689536878216,"NRS_CA-10833","Forest_Wetland"
"245",34,"WMT",27,NA,1.022,"EPA",0.731428571428571,"NRS_CA-10833","Forest_Wetland"
"246",26,"XER",17,0.218770509735288,1.022,"EPA",0.944732297063903,"NRS_CA-10844","Other"
"247",20,"XER",21,0.0909090909090909,1.022,"EPA",0.894827586206897,"NRS_CA-10844","Other"
"248",18,"XER",27,NA,1.022,"EPA",0.882758620689655,"NRS_CA-10844","Other"
"249",22,"WMT",17,0.416666666666667,1.022,"EPA",0.827639751552795,"NRS_CA-10845","Forest_Wetland"
"250",19,"WMT",21,0.0833333333333333,1.022,"EPA",0.658620689655172,"NRS_CA-10845","Forest_Wetland"
"251",23,"WMT",27,NA,1.022,"EPA",0.962790697674419,"NRS_CA-10845","Forest_Wetland"
"252",27,"WMT",17,0.343760742523204,1.022,"EPA",0.765084473049075,"NRS_CA-10849","Forest_Wetland"
"253",31,"WMT",21,0.111111111111111,1.022,"EPA",0.711504424778761,"NRS_CA-10849","Forest_Wetland"
"254",17,"WMT",27,NA,1.022,"EPA",0.972972972972973,"NRS_CA-10849","Other"
"255",24,"WMT",17,0.406173842404549,1.022,"EPA",0.899361022364217,"NRS_CA-10855","Forest_Wetland"
"256",37,"WMT",17,0.281214848143982,1.022,"EPA",0.615966386554622,"NRS_CA-10858","Forest_Wetland"
"257",33,"WMT",22,0.333333333333333,1.022,"EPA",0.60797342192691,"NRS_CA-10858","Forest_Wetland"
"258",34,"WMT",26,1,1.022,"EPA",0.811623246492986,"NRS_CA-10858","Forest_Wetland"
"259",27,"XER",17,0.206270627062706,1.022,"EPA",0.855085508550855,"NRS_CA-10859","Other"
"260",23,"XER",21,0.5,1.022,"EPA",0.845890410958904,"NRS_CA-10859","Other"
"261",24,"XER",27,NA,1.022,"EPA",0.898972602739726,"NRS_CA-10859","Other"
