"","X","alpha","Ecoregion_NARS","Year","PropID","AreaSampTot_m2","Agency","Gen_ID_Prop","SiteNumber","landuse","Latitude_dd","Longitude_dd"
"54",54,25,"SAP",17,0.687285223367698,1.022,"EPA",0.882462686567164,"NRS_AL-10023","Forest_Wetland",34.09180468,-87.73796193
"55",55,40,"CPL",12,1,1.022,"EPA",0.966777408637874,"NRS_AL-10024","Forest_Wetland",31.676478,-87.083831
"56",56,14,"CPL",17,0.5,1.022,"EPA",0.908045977011494,"NRS_AL-10024","Forest_Wetland",31.67663561,-87.08381335
"57",57,41,"SAP",12,0.667,1.022,"EPA",0.869070208728653,"NRS_AL-10029","Forest_Wetland",33.2233,-86.888167
"58",58,51,"SAP",17,0.458295142071494,1.022,"EPA",0.859301227573182,"NRS_AL-10029","Forest_Wetland",33.22341539,-86.88815694
"59",59,43,"SAP",17,0.416666666666667,1.022,"EPA",0.763940520446097,"NRS_AL-10032","Forest_Wetland",33.26014983,-85.50357137
"60",60,24,"SAP",21,0.333300003333,1.022,"EPA",0.784584980237154,"NRS_AL-10032","Forest_Wetland",33.26014982,-85.50357137
"61",61,28,"CPL",27,0.996115150911445,0.372,"EPA",0.931034482758621,"NRS_AL-10034","Forest_Wetland",31.08686327,-87.08175172
"62",62,17,"CPL",21,1,0.651,"EPA",0.919354838709677,"NRS_AL-10046","Forest_Wetland",32.12422056,-87.52831805
"63",63,22,"CPL",21,0.8124796880078,1.022,"EPA",0.80511811023622,"NRS_AL-10049","Forest_Wetland",31.86806513,-85.76601507
"64",64,32,"CPL",17,0.750187546886722,1.022,"EPA",0.651428571428571,"NRS_AL-10051","Forest_Wetland",34.50734375,-88.05036703
"65",65,21,"CPL",21,0.260403104005,1.022,"EPA",0.195612431444241,"NRS_AL-10051","Forest_Wetland",34.50734375,-88.05036704
"66",66,33,"CPL",27,1,1.022,"EPA",0.864476386036961,"NRS_AL-10051","Forest_Wetland",34.50734375,-88.05036704
"67",67,12,"CPL",17,1,1.022,"EPA",0.801541425818882,"NRS_AL-10053","Forest_Wetland",31.30014686,-88.40095587
"68",68,24,"CPL",17,0.947867298578199,1.022,"EPA",0.903474903474903,"NRS_AL-10058","Forest_Wetland",32.97036777,-87.1982608
"69",69,23,"CPL",17,0.5,1.022,"EPA",0.879541108986616,"NRS_AL-10061","Forest_Wetland",32.18553827,-86.90636776
"70",70,30,"CPL",22,1,1.022,"EPA",0.859649122807018,"NRS_AL-10067","Forest_Wetland",31.11972,-86.15249
"71",71,10,"CPL",27,0.468757324333193,1.022,"EPA",0.828343313373254,"NRS_AL-10069","Forest_Wetland",31.6553882,-86.71585127
"72",72,38,"SAP",22,0.833333333333333,1.022,"EPA",0.967184801381693,"NRS_AL-10072","Forest_Wetland",33.09741,-85.84587
"73",73,33,"SAP",21,1,1.022,"EPA",0.845394736842105,"NRS_AL-10083","Forest_Wetland",33.35583,-86.60633
"74",74,31,"SAP",21,0.218799229826711,1.022,"EPA",0.903409090909091,"NRS_AL-10084","Forest_Wetland",33.11467,-87.11905
"75",75,32,"SAP",21,0.604193100114797,0.836,"EPA",0.855263157894737,"NRS_AL-10085","Agriculture",34.07899,-86.50564
"76",76,26,"CPL",21,0.489596083231334,1.022,"EPA",0.962264150943396,"NRS_AL-10086","Forest_Wetland",32.25358,-87.00951
"77",77,28,"SAP",21,0.52080620801,1.022,"EPA",0.86527514231499,"NRS_AL-10087","Forest_Wetland",34.917856,-86.13294466
"78",78,40,"SAP",21,0.583294447036864,1.022,"EPA",0.942857142857143,"NRS_AL-10088","Forest_Wetland",33.22326014,-86.88807657
"79",79,24,"CPL",26,1,1.022,"EPA",0.95,"NRS_AL-10092","Forest_Wetland",33.79484737,-87.85932001
"80",80,15,"CPL",26,1,1.022,"EPA",0.830396475770925,"NRS_AL-10094","Forest_Wetland",32.21648644,-85.51675754
"81",81,26,"SAP",26,1,1.022,"EPA",0.888324873096447,"NRS_AL-10095","Forest_Wetland",34.7555821,-85.68075739
"82",82,27,"CPL",27,0.166666666666667,1.022,"EPA",0.920542635658915,"NRS_AL-10106","Forest_Wetland",32.28881948,-87.29103471
"83",83,24,"SAP",12,1,1.022,"EPA",0.977011494252874,"NRS_AR-10016","Forest_Wetland",34.986,-93.603316
"84",84,28,"SAP",16,1,1.022,"EPA",0.738095238095238,"NRS_AR-10016","Forest_Wetland",34.98609295,-93.60350937
"85",85,33,"SAP",12,0.733,1.022,"EPA",0.831395348837209,"NRS_AR-10017","Forest_Wetland",36.218228,-91.270058
"86",86,21,"SAP",17,0.729394602479942,1.022,"EPA",0.783088235294118,"NRS_AR-10017","Forest_Wetland",36.21829613,-91.27018957
"87",87,14,"CPL",17,1,1.022,"EPA",0.982919254658385,"NRS_AR-10025","Agriculture",36.11038631,-90.4500669
"88",88,13,"SAP",16,1,1.022,"EPA",0.932432432432432,"NRS_AR-10040","Forest_Wetland",34.50655745,-94.18862207
"89",89,10,"CPL",12,1,0.743,"EPA",0.348837209302326,"NRS_AR-10052","Agriculture",35.008593,-91.81216
"90",90,15,"CPL",17,0.969932104752667,1.022,"EPA",0.55026455026455,"NRS_AR-10052","Agriculture",35.00868082,-91.81229884
"91",91,26,"CPL",12,0.567,1.022,"EPA",0.567829457364341,"NRS_AR-10055","Agriculture",33.881211,-93.490334
"92",92,23,"SAP",21,0.440509228668341,1.022,"EPA",0.922794117647059,"NRS_AR-10063","Forest_Wetland",35.67817479,-93.74408948
"93",93,33,"SAP",26,0.833333333333333,1.022,"EPA",0.885148514851485,"NRS_AR-10063","Forest_Wetland",35.67817479,-93.74408948
"94",94,35,"SAP",21,1,1.022,"EPA",0.9,"NRS_AR-10067","Forest_Wetland",34.06488091,-93.44225956
"95",95,26,"SAP",26,1,1.022,"EPA",0.898218829516539,"NRS_AR-10067","Forest_Wetland",34.06488091,-93.44225956
"96",96,26,"SAP",17,1,1.022,"EPA",0.945626477541371,"NRS_AR-10072","Agriculture",36.23849513,-91.90776752
"97",97,22,"SAP",21,0.333300003333,1.022,"EPA",0.942965779467681,"NRS_AR-10072","Agriculture",36.23849513,-91.90776753
"98",98,13,"CPL",17,0.385356454720617,1.022,"EPA",0.166979362101313,"NRS_AR-10074","Agriculture",35.3466556,-91.32230048
"99",99,14,"CPL",21,0.38099592334362,1.022,"EPA",0.566854990583804,"NRS_AR-10074","Agriculture",35.34665559,-91.32230048
"100",100,36,"SAP",17,0.750187546886722,0.743,"EPA",0.886148007590133,"NRS_AR-10078","Forest_Wetland",35.31565061,-92.39585489
"101",101,24,"SAP",17,0.244021473889702,1.022,"EPA",0.901119402985075,"NRS_AR-10091","Agriculture",35.09489821,-93.4227353
"102",102,28,"SAP",17,0.562429696287964,1.022,"EPA",0.929856115107914,"NRS_AR-10109","Forest_Wetland",36.11488649,-91.96699076
"103",103,22,"SAP",21,0.625,1.022,"EPA",0.836466165413534,"NRS_AR-10109","Forest_Wetland",36.11488648,-91.96699076
"104",104,23,"SAP",26,1,1.022,"EPA",0.877149877149877,"NRS_AR-10109","Forest_Wetland",36.11488648,-91.96699076
"105",105,19,"SAP",17,0.25,1.022,"EPA",0.91699604743083,"NRS_AR-10112","Forest_Wetland",36.42861166,-93.14634877
"106",106,21,"SAP",17,0.666666666666667,1.022,"EPA",0.850877192982456,"NRS_AR-10116","Forest_Wetland",35.68548535,-93.52616962
"107",107,21,"CPL",17,0.25,1.022,"EPA",0.881422924901186,"NRS_AR-10117","Agriculture",33.87304613,-93.50813619
"108",108,30,"SAP",17,0.58343057176196,1.022,"EPA",0.936538461538462,"NRS_AR-10125","Forest_Wetland",35.71495398,-92.88273831
"109",109,20,"SAP",17,0.166666666666667,0.929,"EPA",0.958174904942966,"NRS_AR-10127","Agriculture",35.27595613,-92.19925139
"110",110,28,"SAP",17,1,1.022,"EPA",0.920096852300242,"NRS_AR-10129","Forest_Wetland",34.675951,-92.66396251
"111",111,9,"CPL",17,0.279798545047566,0.558,"EPA",0.709737827715356,"NRS_AR-10133","Agriculture",35.27584041,-90.23426092
"112",112,28,"SAP",17,1,1.022,"EPA",0.881974248927039,"NRS_AR-10134","Forest_Wetland",35.06977126,-94.18830486
"113",113,18,"SAP",17,0.541711809317443,1.022,"EPA",0.840130505709625,"NRS_AR-10135","Forest_Wetland",35.88504238,-91.38636981
"114",114,12,"CPL",17,0.25,1.022,"EPA",0.885658914728682,"NRS_AR-10137","Agriculture",33.59243625,-91.30695018
"115",115,22,"SAP",17,1,1.022,"EPA",0.890449438202247,"NRS_AR-10138","Forest_Wetland",34.37706817,-93.20282683
"116",116,7,"CPL",17,0.0736593989393046,1.022,"EPA",0.909270216962525,"NRS_AR-10140","Agriculture",36.38502921,-90.61339699
"117",117,17,"SAP",17,0.374953130858643,1.022,"EPA",0.92364990689013,"NRS_AR-10142","Forest_Wetland",34.92202722,-92.953152
"118",118,13,"SAP",17,1,1.022,"EPA",0.605214152700186,"NRS_AR-10143","Forest_Wetland",34.31157292,-93.75669461
"119",119,9,"CPL",17,1,1.022,"EPA",0.273006134969325,"NRS_AR-10144","Agriculture",34.09935652,-91.64350158
"120",120,20,"SAP",17,0.130208333333333,1.022,"EPA",0.942342342342342,"NRS_AR-10145","Forest_Wetland",36.39792656,-92.37061806
"121",121,23,"SAP",17,0.604229607250755,1.022,"EPA",0.84688995215311,"NRS_AR-10157","Forest_Wetland",34.99955646,-94.10611378
"122",122,12,"CPL",17,0.357142857142857,0.929,"EPA",0.691910499139415,"NRS_AR-10167","Agriculture",35.80050273,-90.19491663
"123",123,12,"SAP",17,0.0729181857955374,0.929,"EPA",0.53690036900369,"NRS_AR-10172","Agriculture",35.38950946,-94.09154904
"124",124,16,"SAP",17,0.750187546886722,1.022,"EPA",0.951178451178451,"NRS_AR-10179","Urban",35.26102285,-93.09442003
"125",125,9,"SAP",17,1,0.836,"EPA",0.72,"NRS_AR-10187","Agriculture",35.35631354,-93.4637046
"126",126,20,"CPL",17,1,1.022,"EPA",0.709302325581395,"NRS_AR-10200","Forest_Wetland",33.16635567,-92.52079593
"127",127,21,"CPL",26,0.440470422411135,1.022,"EPA",0.834932821497121,"NRS_AR-10203","Forest_Wetland",34.78806198,-91.87004886
"128",128,20,"CPL",21,0.833333333333333,1.022,"EPA",0.947955390334573,"NRS_AR-10204","Forest_Wetland",33.99517,-93.38717
"129",129,28,"SAP",21,0.656297171359191,1.022,"EPA",0.964285714285714,"NRS_AR-10205","Forest_Wetland",35.56233,-93.28855
"130",130,28,"SAP",26,1,1.022,"EPA",0.763688760806916,"NRS_AR-10205","Forest_Wetland",35.56232577,-93.28855047
"131",131,28,"SAP",21,0.291698267312292,1.022,"EPA",0.847426470588235,"NRS_AR-10206","Forest_Wetland",36.1023,-91.6197
"132",132,25,"SAP",26,0.208333333333333,1.022,"EPA",0.736220472440945,"NRS_AR-10206","Forest_Wetland",36.10229524,-91.61969827
"133",133,30,"SAP",21,0.166700006668,1.022,"EPA",0.768551236749117,"NRS_AR-10212","Forest_Wetland",35.54235,-93.16002
"134",134,13,"CPL",21,0.260403104005,1.022,"EPA",0.351063829787234,"NRS_AR-10214","Forest_Wetland",33.19634,-93.39313
"135",135,23,"SAP",21,0.333300003333,1.022,"EPA",0.798534798534799,"NRS_AR-10217","Forest_Wetland",34.48397,-92.84216
"136",136,13,"CPL",26,1,1.022,"EPA",0.966312056737589,"NRS_AR-10222","Agriculture",36.43411563,-90.34879978
"137",137,20,"SAP",26,0.27083389757062,1.022,"EPA",0.310834813499112,"NRS_AR-10226","Forest_Wetland",36.08300385,-91.54011977
"138",138,19,"CPL",26,1,1.022,"EPA",0.990049751243781,"NRS_AR-10230","Forest_Wetland",34.64473299,-91.29251055
"139",139,12,"CPL",26,0.0468750732423019,1.022,"EPA",0.975881261595547,"NRS_AR-10236","Agriculture",35.86551219,-90.84473388
"140",140,17,"SAP",26,0.583328472262731,1.022,"EPA",0.891992551210428,"NRS_AR-10238","Forest_Wetland",34.28039517,-94.44835594
"141",141,25,"SAP",26,0.31380424890953,0.929,"EPA",0.612648221343874,"NRS_AR-10239","Forest_Wetland",36.0964581,-92.11822359
"142",142,23,"SAP",26,0.15625,1.022,"EPA",0.966269841269841,"NRS_AR-10241","Agriculture",35.52203628,-94.07139992
"143",143,23,"XER",8,0.15,1.022,"EPA",0.841392649903288,"NRS_AZ-10012","Other",32.87094,-109.19751
"144",144,18,"XER",17,0.0297619047619048,1.022,"EPA",0.905241935483871,"NRS_AZ-10012","Other",32.87100703,-109.1981321
"145",145,20,"WMT",8,0.325,1.022,"EPA",0.67984934086629,"NRS_AZ-10041","Other",33.9124,-109.35581
"146",146,17,"XER",8,0.0333,1.022,"EPA",0.911067193675889,"NRS_AZ-10059","Other",34.35257,-113.21808
"147",147,22,"XER",17,0.19790223629527,1.022,"EPA",0.951020408163265,"NRS_AZ-10059","Other",34.35259107,-113.2188311
"148",148,15,"XER",10,0.2083,1.022,"EPA",0.870967741935484,"NRS_AZ-10081","Other",36.11783,-112.08298
"149",149,17,"XER",17,0.25,1.022,"EPA",0.994106090373281,"NRS_AZ-10081","Other",36.1178128,-112.0837041
"150",150,23,"WMT",9,0.5833,1.022,"EPA",0.812267657992565,"NRS_AZ-10174","Forest_Wetland",33.75989,-109.43339
"151",151,20,"WMT",17,0.25,1.022,"EPA",0.939962476547842,"NRS_AZ-10174","Forest_Wetland",33.75994138,-109.4340308
"152",152,27,"WMT",11,1,1.022,"EPA",0.913838120104439,"NRS_AZ-10311","Forest_Wetland",34.19256,-111.03606
"153",153,18,"WMT",17,0.140627197299958,1.022,"EPA",0.953125,"NRS_AZ-10311","Forest_Wetland",34.19259994,-111.0367437
"154",154,2,"XER",17,0.15852885225111,1.022,"EPA",0.654440154440154,"NRS_AZ-10432","Other",32.40882122,-111.1606295
"155",155,3,"XER",21,0.0573000229200092,1.022,"EPA",0.702199661590524,"NRS_AZ-10432","Other",32.40882122,-111.1606295
"156",156,14,"XER",27,0.0625,1.022,"EPA",0.961538461538462,"NRS_AZ-10432","Other",32.40882122,-111.1606295
"157",157,26,"XER",17,0.161446561188247,1.022,"EPA",0.872113676731794,"NRS_AZ-10435","Other",33.29395085,-109.494703
"158",158,27,"XER",22,0.25,1.022,"EPA",0.972727272727273,"NRS_AZ-10435","Other",33.29395085,-109.494703
"159",159,22,"XER",17,0.625,1.022,"EPA",0.957142857142857,"NRS_AZ-10437","Other",34.57310158,-110.0745709
"160",160,27,"WMT",17,0.874890638670166,1.022,"EPA",0.898897058823529,"NRS_AZ-10441","Other",34.53135184,-111.8406707
"161",161,18,"WMT",17,0.0625,1.022,"EPA",0.835420393559928,"NRS_AZ-10457","Other",34.23975405,-112.0670972
"162",162,22,"WMT",17,1,1.022,"EPA",0.916167664670659,"NRS_AZ-10461","Other",34.88683609,-112.3247841
"163",163,14,"XER",17,1,1.022,"EPA",0.772563176895307,"NRS_AZ-10463","Other",36.860876,-113.9534472
"164",164,23,"XER",17,0.0297619047619048,1.022,"EPA",0.861480075901328,"NRS_AZ-10488","Other",33.10544383,-109.299405
"165",165,9,"XER",17,0.0535704719558579,1.022,"EPA",0.469473684210526,"NRS_AZ-10503","Agriculture",32.71136818,-114.3204076
"166",166,23,"XER",17,0.179694519317161,1.022,"EPA",0.975285171102662,"NRS_AZ-10513","Other",33.8736257,-111.3058217
"167",167,19,"XER",17,0.166666666666667,1.022,"EPA",0.940594059405941,"NRS_AZ-10520","Other",32.71967085,-109.0974956
"168",168,23,"XER",17,0.812347684809098,1.022,"EPA",0.93040293040293,"NRS_AZ-10547","Other",32.89332433,-109.7940786
"169",169,26,"XER",17,0.0468757324333193,1.022,"EPA",0.792843691148776,"NRS_AZ-10552","Other",33.02098181,-109.2997034
"170",170,22,"XER",17,0.048828125,1.022,"EPA",0.82312925170068,"NRS_AZ-10568","Other",33.08808747,-109.4624855
"171",171,22,"WMT",17,0.0357142857142857,1.022,"EPA",0.891143911439114,"NRS_AZ-10584","Forest_Wetland",33.67588001,-109.0840924
"172",172,16,"WMT",21,1,1.022,"EPA",0.765917602996255,"NRS_AZ-10584","Forest_Wetland",33.67588001,-109.0840924
"173",173,9,"XER",17,0.333333333333333,1.022,"EPA",0.281496062992126,"NRS_AZ-10607","Other",31.56235429,-111.0460433
"174",174,10,"WMT",17,0.145836371591075,1.022,"EPA",0.988950276243094,"NRS_AZ-10612","Other",34.37598408,-110.0121231
"175",175,9,"XER",22,0.25,1.022,"EPA",0.981718464351006,"NRS_AZ-10619","Other",36.70098,-110.5256
"176",176,30,"XER",22,0.0714000114240018,1.022,"EPA",0.966911764705882,"NRS_AZ-10625","Other",31.51466,-110.1282
"177",177,20,"XER",27,0.0208333333333333,1.022,"EPA",0.96455223880597,"NRS_AZ-10625","Other",31.5146622,-110.1281584
"178",178,27,"WMT",21,0.161699788173277,1.022,"EPA",0.890438247011952,"NRS_AZ-10626","Other",34.86995,-112.0693
"179",179,25,"WMT",27,0.166666666666667,1.022,"EPA",0.954901960784314,"NRS_AZ-10626","Other",34.86995019,-112.0693494
"180",180,12,"XER",22,0.906289650172195,1.022,"EPA",0.948669201520912,"NRS_AZ-10634","Other",36.72811,-110.5395
"181",181,24,"XER",22,1,1.022,"EPA",0.557692307692308,"NRS_AZ-10643","Other",33.71384,-110.8185
"182",182,16,"WMT",22,0.666711114074272,1.022,"EPA",0.68503937007874,"NRS_AZ-10654","Forest_Wetland",33.87832,-109.2865
"183",183,12,"XER",21,0.181399314310592,0.836,"EPA",0.46875,"NRS_AZ-10657","Other",34.16182,-109.3017
"184",184,17,"XER",27,0.291664236131366,1.022,"EPA",0.981167608286252,"NRS_AZ-10662","Other",33.97792179,-111.3062761
"185",185,28,"WMT",22,0.11000011000011,1.022,"EPA",0.926499032882012,"NRS_AZ-10665","Other",33.29637,-109.1921
"186",186,12,"WMT",27,0.25,1.115,"EPA",0.974025974025974,"NRS_AZ-10665","Other",33.29637167,-109.1921199
"187",187,9,"WMT",21,0.25,1.022,"EPA",0.335664335664336,"NRS_AZ-10670","Forest_Wetland",33.89019,-109.472
"188",188,16,"WMT",27,1,1.022,"EPA",0.893805309734513,"NRS_AZ-10670","Forest_Wetland",33.8901935,-109.4719997
"189",189,25,"WMT",22,0.0625,1.022,"EPA",0.908771929824561,"NRS_AZ-10675","Forest_Wetland",36.4193,-109.1022
"190",190,22,"WMT",27,1,1.022,"EPA",0.916492693110647,"NRS_AZ-10675","Forest_Wetland",36.41929761,-109.1022501
"191",191,23,"WMT",21,0.10420031468495,1.022,"EPA",0.949119373776908,"NRS_AZ-10679","Forest_Wetland",34.33749,-111.0138
"192",192,27,"XER",22,0.273403324584427,1.022,"EPA",0.71455938697318,"NRS_AZ-10680","Forest_Wetland",31.88153,-109.2165
"193",193,18,"XER",22,0.0714000114240018,1.022,"EPA",0.877061469265367,"NRS_AZ-10685","Other",36.8397,-110.6755
"194",194,7,"WMT",27,1,1.022,"EPA",0.969529085872576,"NRS_AZ-10690","Forest_Wetland",36.85445727,-109.2076534
"195",195,18,"WMT",27,0.562492968837889,1.022,"EPA",0.962476547842402,"NRS_AZ-10695","Forest_Wetland",34.90988112,-111.7278663
"196",196,18,"XER",27,0.0416666666666667,1.022,"EPA",0.977358490566038,"NRS_AZ-10701","Agriculture",32.9203805,-109.8384095
"197",197,14,"WMT",27,0.328127050794067,0.929,"EPA",0.979553903345725,"NRS_AZ-10729","Other",34.22693406,-111.4564145
"198",198,14,"XER",27,0.5,1.022,"EPA",0.971880492091388,"NRS_AZ-10730","Other",32.91215187,-110.477373
"199",199,25,"WMT",8,0.0333,1.022,"EPA",0.892523364485981,"NRS_CA-10003","Forest_Wetland",37.68178,-119.53587
"200",200,17,"WMT",17,0.140627197299958,1.022,"EPA",0.967416602017067,"NRS_CA-10003","Other",37.68170866,-119.5368614
"201",201,31,"WMT",8,0.2125,1.022,"EPA",0.828451882845188,"NRS_CA-10087","Forest_Wetland",40.62725,-123.37293
"202",202,25,"WMT",17,0.157505118916365,1.022,"EPA",0.840869565217391,"NRS_CA-10087","Forest_Wetland",40.62711397,-123.3740755
"203",203,14,"XER",9,0.125,1.022,"EPA",0.910536779324056,"NRS_CA-10124","Urban",38.67552,-121.44613
"204",204,26,"WMT",9,0.15,1.022,"EPA",0.483809523809524,"NRS_CA-10150","Other",32.89957,-116.58789
"205",205,19,"WMT",16,0.0625,1.022,"EPA",0.731683168316832,"NRS_CA-10150","Other",32.89961947,-116.5887422
"206",206,36,"XER",10,0.05,1.022,"EPA",0.615853658536585,"NRS_CA-10165","Other",34.7477,-120.05303
"207",207,29,"XER",16,0.2,1.022,"EPA",0.778604651162791,"NRS_CA-10165","Other",34.74768352,-120.0540091
"208",208,41,"XER",9,0.0625,1.022,"EPA",0.931034482758621,"NRS_CA-10207","Other",39.44212,-122.63613
