"","alpha","Ecoregion_NARS","Year","PropID","AreaSampTot_m2","Agency","Gen_ID_Prop","SiteNumber"
"24",54,"NAP",12,0.1,1.022,"EPA",0.825819672131147,"NEWS04-2502"
"25",28,"NAP",12,0.1,1.022,"EPA",0.843525179856115,"NEWS04-2805"
"26",38,"NAP",12,0.367,1.022,"EPA",0.751012145748988,"NEWS04-2907"
"27",44,"NAP",12,0.167,1.022,"EPA",0.830795262267343,"NEWS04-3206"
"28",29,"NAP",12,0.6,1.022,"EPA",0.776447105788423,"NEWS04-3406"
"29",33,"NAP",12,0.667,1.022,"EPA",0.909819639278557,"NEWS04-3504"
"30",31,"NAP",12,0.1,1.022,"EPA",0.903339191564148,"NEWS04-3802"
"31",48,"NAP",12,0.35,0.929,"EPA",0.827534039334342,"NEWS04-3901"
"32",46,"NAP",12,0.333,1.022,"EPA",0.873046875,"NEWS04-4003"
"33",36,"NAP",12,0.433,1.022,"EPA",0.79467680608365,"NEWS04-4104"
"34",42,"NAP",12,0.5,1.022,"EPA",0.85838779956427,"NEWS04-CT03"
"35",41,"NAP",12,0.3,1.022,"EPA",0.867424242424242,"NEWS04-CT05"
"36",43,"NAP",12,0.133,1.022,"EPA",0.70042194092827,"NEWS04-ME05"
"37",35,"NAP",12,0.333,1.022,"EPA",0.869565217391304,"NEWS04-NH01"
"38",43,"NAP",12,0.233,1.022,"EPA",0.85546875,"NEWS04-NH03"
"39",45,"NAP",12,0.2,1.022,"EPA",0.82992125984252,"NEWS04-RI01"
"40",46,"NAP",12,0.3,1.022,"EPA",0.897306397306397,"NEWS04-ST03"
"41",54,"NAP",12,0.133,1.022,"EPA",0.735714285714286,"NEWS04-ST04"
"42",39,"NAP",12,0.333,1.022,"EPA",0.783393501805054,"NEWS04-VT01"
"43",53,"SAP",12,0.467,1.022,"EPA",0.918625678119349,"NRS_AL-10005"
"44",36,"SAP",17,0.270855904658722,1.022,"EPA",0.94280442804428,"NRS_AL-10005"
"45",37,"SAP",17,0.916590284142988,1.022,"EPA",0.385496183206107,"NRS_AL-10006"
"46",35,"SAP",12,0.533,1.022,"EPA",0.865530303030303,"NRS_AL-10010"
"47",54,"SAP",17,0.58343057176196,1.022,"EPA",0.790697674418605,"NRS_AL-10010"
"48",50,"SAP",17,0.666666666666667,1.022,"EPA",0.926032660902978,"NRS_AL-10019"
"49",29,"SAP",12,0.5,1.022,"EPA",0.806509945750452,"NRS_AL-10020"
"50",41,"SAP",17,0.625,1.022,"EPA",0.777153558052434,"NRS_AL-10020"
"51",46,"SAP",12,1,1.022,"EPA",0.863636363636364,"NRS_AL-10023"
"52",37,"SAP",17,0.687285223367698,1.022,"EPA",0.882462686567164,"NRS_AL-10023"
"53",40,"CPL",12,1,1.022,"EPA",0.966777408637874,"NRS_AL-10024"
"54",25,"CPL",17,0.5,1.022,"EPA",0.908045977011494,"NRS_AL-10024"
"55",41,"SAP",17,1,1.022,"EPA",0.665929203539823,"NRS_AL-10026"
"56",48,"SAP",12,0.667,1.022,"EPA",0.869070208728653,"NRS_AL-10029"
"57",79,"SAP",17,0.458295142071494,1.022,"EPA",0.859301227573182,"NRS_AL-10029"
"58",54,"SAP",17,0.416666666666667,1.022,"EPA",0.763940520446097,"NRS_AL-10032"
"59",37,"SAP",21,0.333300003333,1.022,"EPA",0.784584980237154,"NRS_AL-10032"
"60",37,"CPL",27,0.996115150911445,0.372,"EPA",0.931034482758621,"NRS_AL-10034"
"61",21,"CPL",21,1,0.651,"EPA",0.919354838709677,"NRS_AL-10046"
"62",34,"CPL",21,0.8124796880078,1.022,"EPA",0.80511811023622,"NRS_AL-10049"
"63",52,"CPL",17,0.750187546886722,1.022,"EPA",0.651428571428571,"NRS_AL-10051"
"64",35,"CPL",21,0.260403104005,1.022,"EPA",0.195612431444241,"NRS_AL-10051"
"65",47,"CPL",27,1,1.022,"EPA",0.864476386036961,"NRS_AL-10051"
"66",21,"CPL",17,1,1.022,"EPA",0.801541425818882,"NRS_AL-10053"
"67",38,"CPL",17,0.947867298578199,1.022,"EPA",0.903474903474903,"NRS_AL-10058"
"68",30,"CPL",17,0.5,1.022,"EPA",0.879541108986616,"NRS_AL-10061"
"69",40,"CPL",22,1,1.022,"EPA",0.859649122807018,"NRS_AL-10067"
"70",24,"CPL",27,0.468757324333193,1.022,"EPA",0.828343313373254,"NRS_AL-10069"
"71",55,"SAP",22,0.833333333333333,1.022,"EPA",0.967184801381693,"NRS_AL-10072"
"72",38,"SAP",21,1,1.022,"EPA",0.845394736842105,"NRS_AL-10083"
"73",43,"SAP",21,0.218799229826711,1.022,"EPA",0.903409090909091,"NRS_AL-10084"
"74",43,"SAP",21,0.604193100114797,0.836,"EPA",0.855263157894737,"NRS_AL-10085"
"75",35,"CPL",21,0.489596083231334,1.022,"EPA",0.962264150943396,"NRS_AL-10086"
"76",42,"SAP",21,0.52080620801,1.022,"EPA",0.86527514231499,"NRS_AL-10087"
"77",60,"SAP",21,0.583294447036864,1.022,"EPA",0.942857142857143,"NRS_AL-10088"
"78",36,"CPL",26,1,1.022,"EPA",0.95,"NRS_AL-10092"
"79",27,"CPL",26,1,1.022,"EPA",0.830396475770925,"NRS_AL-10094"
"80",38,"SAP",26,1,1.022,"EPA",0.888324873096447,"NRS_AL-10095"
"81",35,"CPL",27,0.166666666666667,1.022,"EPA",0.920542635658915,"NRS_AL-10106"
"82",31,"SAP",12,1,1.022,"EPA",0.977011494252874,"NRS_AR-10016"
"83",39,"SAP",16,1,1.022,"EPA",0.738095238095238,"NRS_AR-10016"
"84",39,"SAP",12,0.733,1.022,"EPA",0.831395348837209,"NRS_AR-10017"
"85",33,"SAP",17,0.729394602479942,1.022,"EPA",0.783088235294118,"NRS_AR-10017"
"86",24,"CPL",17,1,1.022,"EPA",0.982919254658385,"NRS_AR-10025"
"87",19,"SAP",16,1,1.022,"EPA",0.932432432432432,"NRS_AR-10040"
"88",14,"CPL",12,1,0.743,"EPA",0.348837209302326,"NRS_AR-10052"
"89",34,"CPL",17,0.969932104752667,1.022,"EPA",0.55026455026455,"NRS_AR-10052"
"90",33,"CPL",12,0.567,1.022,"EPA",0.567829457364341,"NRS_AR-10055"
"91",36,"SAP",21,0.440509228668341,1.022,"EPA",0.922794117647059,"NRS_AR-10063"
"92",54,"SAP",26,0.833333333333333,1.022,"EPA",0.885148514851485,"NRS_AR-10063"
"93",50,"SAP",21,1,1.022,"EPA",0.9,"NRS_AR-10067"
"94",38,"SAP",17,1,1.022,"EPA",0.945626477541371,"NRS_AR-10072"
"95",22,"CPL",17,0.385356454720617,1.022,"EPA",0.166979362101313,"NRS_AR-10074"
"96",22,"CPL",21,0.38099592334362,1.022,"EPA",0.566854990583804,"NRS_AR-10074"
"97",51,"SAP",17,0.750187546886722,0.743,"EPA",0.886148007590133,"NRS_AR-10078"
"98",36,"SAP",17,0.244021473889702,1.022,"EPA",0.901119402985075,"NRS_AR-10091"
"99",41,"SAP",17,0.562429696287964,1.022,"EPA",0.929856115107914,"NRS_AR-10109"
"100",34,"SAP",21,0.625,1.022,"EPA",0.836466165413534,"NRS_AR-10109"
"101",36,"SAP",26,1,1.022,"EPA",0.877149877149877,"NRS_AR-10109"
"102",27,"SAP",17,0.25,1.022,"EPA",0.91699604743083,"NRS_AR-10112"
"103",33,"SAP",17,0.666666666666667,1.022,"EPA",0.850877192982456,"NRS_AR-10116"
"104",30,"CPL",17,0.25,1.022,"EPA",0.881422924901186,"NRS_AR-10117"
"105",45,"SAP",17,0.58343057176196,1.022,"EPA",0.936538461538462,"NRS_AR-10125"
"106",33,"SAP",17,0.166666666666667,0.929,"EPA",0.958174904942966,"NRS_AR-10127"
"107",38,"SAP",17,1,1.022,"EPA",0.920096852300242,"NRS_AR-10129"
"108",17,"CPL",17,0.279798545047566,0.558,"EPA",0.709737827715356,"NRS_AR-10133"
"109",40,"SAP",17,1,1.022,"EPA",0.881974248927039,"NRS_AR-10134"
"110",31,"SAP",17,0.541711809317443,1.022,"EPA",0.840130505709625,"NRS_AR-10135"
"111",19,"CPL",17,0.25,1.022,"EPA",0.885658914728682,"NRS_AR-10137"
"112",25,"SAP",17,1,1.022,"EPA",0.890449438202247,"NRS_AR-10138"
"113",12,"CPL",17,0.0736593989393046,1.022,"EPA",0.909270216962525,"NRS_AR-10140"
"114",29,"SAP",17,0.374953130858643,1.022,"EPA",0.92364990689013,"NRS_AR-10142"
"115",24,"SAP",17,1,1.022,"EPA",0.605214152700186,"NRS_AR-10143"
"116",18,"CPL",17,1,1.022,"EPA",0.273006134969325,"NRS_AR-10144"
"117",32,"SAP",17,0.130208333333333,1.022,"EPA",0.942342342342342,"NRS_AR-10145"
"118",40,"SAP",17,0.604229607250755,1.022,"EPA",0.84688995215311,"NRS_AR-10157"
"119",22,"CPL",17,0.357142857142857,0.929,"EPA",0.691910499139415,"NRS_AR-10167"
"120",20,"SAP",17,0.0729181857955374,0.929,"EPA",0.53690036900369,"NRS_AR-10172"
"121",27,"SAP",17,0.750187546886722,1.022,"EPA",0.951178451178451,"NRS_AR-10179"
"122",15,"SAP",17,1,0.836,"EPA",0.72,"NRS_AR-10187"
"123",35,"CPL",17,1,1.022,"EPA",0.709302325581395,"NRS_AR-10200"
"124",27,"CPL",21,0.833333333333333,1.022,"EPA",0.947955390334573,"NRS_AR-10204"
"125",42,"SAP",21,0.656297171359191,1.022,"EPA",0.964285714285714,"NRS_AR-10205"
"126",31,"SAP",26,1,1.022,"EPA",0.763688760806916,"NRS_AR-10205"
"127",45,"SAP",21,0.291698267312292,1.022,"EPA",0.847426470588235,"NRS_AR-10206"
"128",40,"SAP",26,0.208333333333333,1.022,"EPA",0.736220472440945,"NRS_AR-10206"
"129",46,"SAP",21,0.166700006668,1.022,"EPA",0.768551236749117,"NRS_AR-10212"
"130",22,"CPL",21,0.260403104005,1.022,"EPA",0.351063829787234,"NRS_AR-10214"
"131",34,"SAP",21,0.333300003333,1.022,"EPA",0.798534798534799,"NRS_AR-10217"
"132",23,"CPL",26,1,1.022,"EPA",0.966312056737589,"NRS_AR-10222"
"133",29,"SAP",26,0.27083389757062,1.022,"EPA",0.310834813499112,"NRS_AR-10226"
"134",23,"CPL",26,1,1.022,"EPA",0.990049751243781,"NRS_AR-10230"
"135",23,"CPL",26,0.0468750732423019,1.022,"EPA",0.975881261595547,"NRS_AR-10236"
"136",28,"SAP",26,0.583328472262731,1.022,"EPA",0.891992551210428,"NRS_AR-10238"
"137",39,"SAP",26,0.31380424890953,0.929,"EPA",0.612648221343874,"NRS_AR-10239"
"138",40,"SAP",26,0.15625,1.022,"EPA",0.966269841269841,"NRS_AR-10241"
"139",30,"XER",8,0.15,1.022,"EPA",0.841392649903288,"NRS_AZ-10012"
"140",33,"XER",17,0.0297619047619048,1.022,"EPA",0.905241935483871,"NRS_AZ-10012"
"141",23,"WMT",8,0.325,1.022,"EPA",0.67984934086629,"NRS_AZ-10041"
"142",22,"XER",8,0.0333,1.022,"EPA",0.911067193675889,"NRS_AZ-10059"
"143",31,"XER",17,0.19790223629527,1.022,"EPA",0.951020408163265,"NRS_AZ-10059"
"144",16,"XER",10,0.2083,1.022,"EPA",0.870967741935484,"NRS_AZ-10081"
"145",21,"XER",17,0.25,1.022,"EPA",0.994106090373281,"NRS_AZ-10081"
"146",29,"WMT",9,0.5833,1.022,"EPA",0.812267657992565,"NRS_AZ-10174"
"147",29,"WMT",17,0.25,1.022,"EPA",0.939962476547842,"NRS_AZ-10174"
"148",30,"WMT",11,1,1.022,"EPA",0.913838120104439,"NRS_AZ-10311"
"149",23,"WMT",17,0.140627197299958,1.022,"EPA",0.953125,"NRS_AZ-10311"
"150",9,"XER",17,0.15852885225111,1.022,"EPA",0.654440154440154,"NRS_AZ-10432"
"151",5,"XER",21,0.0573000229200092,1.022,"EPA",0.702199661590524,"NRS_AZ-10432"
"152",19,"XER",27,0.0625,1.022,"EPA",0.961538461538462,"NRS_AZ-10432"
"153",40,"XER",17,0.161446561188247,1.022,"EPA",0.872113676731794,"NRS_AZ-10435"
"154",37,"XER",22,0.25,1.022,"EPA",0.972727272727273,"NRS_AZ-10435"
"155",30,"XER",17,0.625,1.022,"EPA",0.957142857142857,"NRS_AZ-10437"
"156",41,"WMT",17,0.874890638670166,1.022,"EPA",0.898897058823529,"NRS_AZ-10441"
"157",28,"WMT",17,0.0625,1.022,"EPA",0.835420393559928,"NRS_AZ-10457"
"158",28,"WMT",17,1,1.022,"EPA",0.916167664670659,"NRS_AZ-10461"
"159",25,"XER",17,1,1.022,"EPA",0.772563176895307,"NRS_AZ-10463"
"160",30,"XER",17,0.0297619047619048,1.022,"EPA",0.861480075901328,"NRS_AZ-10488"
"161",15,"XER",17,0.0535704719558579,1.022,"EPA",0.469473684210526,"NRS_AZ-10503"
"162",38,"XER",17,0.179694519317161,1.022,"EPA",0.975285171102662,"NRS_AZ-10513"
"163",33,"XER",17,0.166666666666667,1.022,"EPA",0.940594059405941,"NRS_AZ-10520"
"164",37,"XER",17,0.812347684809098,1.022,"EPA",0.93040293040293,"NRS_AZ-10547"
"165",35,"XER",17,0.0468757324333193,1.022,"EPA",0.792843691148776,"NRS_AZ-10552"
"166",40,"XER",17,0.048828125,1.022,"EPA",0.82312925170068,"NRS_AZ-10568"
"167",32,"WMT",17,0.0357142857142857,1.022,"EPA",0.891143911439114,"NRS_AZ-10584"
"168",24,"WMT",21,1,1.022,"EPA",0.765917602996255,"NRS_AZ-10584"
"169",17,"XER",17,0.333333333333333,1.022,"EPA",0.281496062992126,"NRS_AZ-10607"
"170",16,"WMT",17,0.145836371591075,1.022,"EPA",0.988950276243094,"NRS_AZ-10612"
"171",15,"XER",22,0.25,1.022,"EPA",0.981718464351006,"NRS_AZ-10619"
"172",44,"XER",22,0.0714000114240018,1.022,"EPA",0.966911764705882,"NRS_AZ-10625"
"173",24,"XER",27,0.0208333333333333,1.022,"EPA",0.96455223880597,"NRS_AZ-10625"
"174",41,"WMT",21,0.161699788173277,1.022,"EPA",0.890438247011952,"NRS_AZ-10626"
"175",27,"WMT",27,0.166666666666667,1.022,"EPA",0.954901960784314,"NRS_AZ-10626"
"176",15,"XER",22,0.906289650172195,1.022,"EPA",0.948669201520912,"NRS_AZ-10634"
"177",32,"XER",22,1,1.022,"EPA",0.557692307692308,"NRS_AZ-10643"
"178",26,"WMT",22,0.666711114074272,1.022,"EPA",0.68503937007874,"NRS_AZ-10654"
"179",20,"XER",21,0.181399314310592,0.836,"EPA",0.46875,"NRS_AZ-10657"
"180",28,"XER",27,0.291664236131366,1.022,"EPA",0.981167608286252,"NRS_AZ-10662"
"181",34,"WMT",22,0.11000011000011,1.022,"EPA",0.926499032882012,"NRS_AZ-10665"
"182",18,"WMT",27,0.25,1.115,"EPA",0.974025974025974,"NRS_AZ-10665"
"183",19,"WMT",21,0.25,1.022,"EPA",0.335664335664336,"NRS_AZ-10670"
"184",19,"WMT",27,1,1.022,"EPA",0.893805309734513,"NRS_AZ-10670"
"185",39,"WMT",22,0.0625,1.022,"EPA",0.908771929824561,"NRS_AZ-10675"
"186",33,"WMT",27,1,1.022,"EPA",0.916492693110647,"NRS_AZ-10675"
"187",29,"WMT",21,0.10420031468495,1.022,"EPA",0.949119373776908,"NRS_AZ-10679"
"188",32,"XER",22,0.273403324584427,1.022,"EPA",0.71455938697318,"NRS_AZ-10680"
"189",24,"XER",22,0.0714000114240018,1.022,"EPA",0.877061469265367,"NRS_AZ-10685"
"190",11,"WMT",27,1,1.022,"EPA",0.969529085872576,"NRS_AZ-10690"
"191",29,"WMT",27,0.562492968837889,1.022,"EPA",0.962476547842402,"NRS_AZ-10695"
"192",20,"XER",27,0.0416666666666667,1.022,"EPA",0.977358490566038,"NRS_AZ-10701"
"193",24,"WMT",27,0.328127050794067,0.929,"EPA",0.979553903345725,"NRS_AZ-10729"
"194",21,"XER",27,0.5,1.022,"EPA",0.971880492091388,"NRS_AZ-10730"
"195",27,"WMT",8,0.0333,1.022,"EPA",0.892523364485981,"NRS_CA-10003"
"196",26,"WMT",17,0.140627197299958,1.022,"EPA",0.967416602017067,"NRS_CA-10003"
"197",39,"WMT",8,0.2125,1.022,"EPA",0.828451882845188,"NRS_CA-10087"
"198",41,"WMT",17,0.157505118916365,1.022,"EPA",0.840869565217391,"NRS_CA-10087"
"199",18,"XER",9,0.125,1.022,"EPA",0.910536779324056,"NRS_CA-10124"
"200",41,"XER",16,0.0625,1.022,"EPA",0.915924826904055,"NRS_CA-10124"
"201",31,"WMT",9,0.15,1.022,"EPA",0.483809523809524,"NRS_CA-10150"
"202",27,"WMT",16,0.0625,1.022,"EPA",0.731683168316832,"NRS_CA-10150"
"203",47,"XER",10,0.05,1.022,"EPA",0.615853658536585,"NRS_CA-10165"
"204",39,"XER",16,0.2,1.022,"EPA",0.778604651162791,"NRS_CA-10165"
"205",45,"XER",9,0.0625,1.022,"EPA",0.931034482758621,"NRS_CA-10207"
"206",55,"XER",17,0.458295142071494,1.022,"EPA",0.882769472856019,"NRS_CA-10207"
"207",39,"WMT",9,0.0875,1.022,"EPA",0.781779661016949,"NRS_CA-10285"
"208",42,"WMT",16,0.0625,1.022,"EPA",0.738831615120275,"NRS_CA-10285"
"209",31,"XER",9,0.125,1.022,"EPA",0.881048387096774,"NRS_CA-10300"
"210",31,"XER",16,0.0288500375050488,1.022,"EPA",0.829308909242298,"NRS_CA-10300"
"211",31,"XER",9,0.1625,0.836,"EPA",0.462012320328542,"NRS_CA-10304"
"212",50,"XER",16,0.0833333333333333,1.022,"EPA",0.857963875205255,"NRS_CA-10304"
"213",28,"WMT",9,0.0938,1.022,"EPA",0.954838709677419,"NRS_CA-10333"
"214",38,"WMT",16,0.0625,1.022,"EPA",0.912425149700599,"NRS_CA-10333"
"215",40,"XER",10,0.05,1.022,"EPA",0.972111553784861,"NRS_CA-10352"
"216",43,"XER",16,0.0234400637569734,1.022,"EPA",0.932343234323432,"NRS_CA-10352"
"217",43,"WMT",10,0.2917,1.022,"EPA",0.936575052854123,"NRS_CA-10359"
"218",54,"WMT",11,0.8125,1.022,"EPA",0.769076305220884,"NRS_CA-10359"
"219",42,"WMT",16,0.0234400637569734,1.022,"EPA",0.867480383609416,"NRS_CA-10359"
"220",20,"XER",10,0.1,1.022,"EPA",0.806706114398422,"NRS_CA-10416"
"221",37,"XER",17,0.0625,0.929,"EPA",0.652688172043011,"NRS_CA-10416"
"222",43,"WMT",10,0.2,1.022,"EPA",0.895705521472393,"NRS_CA-10458"
"223",46,"WMT",16,0.1,1.022,"EPA",0.867226890756303,"NRS_CA-10458"
"224",24,"XER",16,0.2,1.022,"EPA",0.921150278293135,"NRS_CA-10779"
"225",28,"XER",21,1,1.022,"EPA",0.361556064073227,"NRS_CA-10779"
"226",48,"XER",27,NA,1.022,"EPA",0.948356807511737,"NRS_CA-10779"
"227",25,"XER",17,0.43122035360069,1.022,"EPA",0.965116279069767,"NRS_CA-10784"
"228",25,"XER",21,0.125,1.022,"EPA",0.822429906542056,"NRS_CA-10784"
"229",30,"XER",26,0.09000009000009,1.022,"EPA",0.905084745762712,"NRS_CA-10784"
"230",41,"WMT",17,0.143740117866897,1.022,"EPA",0.985037406483791,"NRS_CA-10798"
"231",29,"WMT",21,0.142857142857143,1.022,"EPA",0.901303538175047,"NRS_CA-10798"
"232",16,"XER",17,0.515729757607014,1.022,"EPA",0.908442330558858,"NRS_CA-10800"
"233",51,"WMT",17,0.437445319335083,1.022,"EPA",0.920302013422819,"NRS_CA-10808"
"234",56,"WMT",21,0.2,1.022,"EPA",0.950177935943061,"NRS_CA-10808"
"235",38,"XER",17,0.19790223629527,1.022,"EPA",0.820857863751051,"NRS_CA-10816"
"236",42,"XER",21,0.0909090909090909,1.022,"EPA",0.934782608695652,"NRS_CA-10816"
"237",45,"XER",27,NA,1.022,"EPA",0.932835820895522,"NRS_CA-10816"
"238",49,"WMT",16,0.05,1.022,"EPA",0.860576923076923,"NRS_CA-10833"
"239",45,"WMT",21,0.25,1.022,"EPA",0.706689536878216,"NRS_CA-10833"
"240",41,"WMT",27,NA,1.022,"EPA",0.731428571428571,"NRS_CA-10833"
"241",36,"XER",17,0.218770509735288,1.022,"EPA",0.944732297063903,"NRS_CA-10844"
"242",30,"XER",21,0.0909090909090909,1.022,"EPA",0.894827586206897,"NRS_CA-10844"
"243",22,"XER",27,NA,1.022,"EPA",0.882758620689655,"NRS_CA-10844"
"244",35,"WMT",17,0.416666666666667,1.022,"EPA",0.827639751552795,"NRS_CA-10845"
"245",31,"WMT",21,0.0833333333333333,1.022,"EPA",0.658620689655172,"NRS_CA-10845"
"246",27,"WMT",27,NA,1.022,"EPA",0.962790697674419,"NRS_CA-10845"
"247",38,"WMT",17,0.343760742523204,1.022,"EPA",0.765084473049075,"NRS_CA-10849"
"248",39,"WMT",21,0.111111111111111,1.022,"EPA",0.711504424778761,"NRS_CA-10849"
"249",20,"WMT",27,NA,1.022,"EPA",0.972972972972973,"NRS_CA-10849"
"250",38,"WMT",17,0.406173842404549,1.022,"EPA",0.899361022364217,"NRS_CA-10855"
"251",47,"WMT",17,0.281214848143982,1.022,"EPA",0.615966386554622,"NRS_CA-10858"
"252",41,"WMT",22,0.333333333333333,1.022,"EPA",0.60797342192691,"NRS_CA-10858"
"253",44,"WMT",26,1,1.022,"EPA",0.811623246492986,"NRS_CA-10858"
"254",38,"XER",17,0.206270627062706,1.022,"EPA",0.855085508550855,"NRS_CA-10859"
"255",31,"XER",21,0.5,1.022,"EPA",0.845890410958904,"NRS_CA-10859"
"256",29,"XER",27,NA,1.022,"EPA",0.898972602739726,"NRS_CA-10859"
"257",23,"XER",17,0.114573785517874,1.022,"EPA",0.67280701754386,"NRS_CA-10864"
"258",13,"XER",21,0.0909090909090909,1.022,"EPA",0.0521415270018622,"NRS_CA-10864"
"259",20,"XER",27,NA,1.022,"EPA",0.115254237288136,"NRS_CA-10864"
"260",45,"WMT",17,0.187511719482468,1.022,"EPA",0.867538838920687,"NRS_CA-10869"
"261",44,"WMT",21,0.111111111111111,1.022,"EPA",0.895726495726496,"NRS_CA-10869"
"262",40,"WMT",17,0.0729181857955374,1.022,"EPA",0.632173913043478,"NRS_CA-10871"
"263",39,"WMT",21,0.1,1.022,"EPA",0.927509293680297,"NRS_CA-10871"
"264",48,"XER",17,0.15625,1.022,"EPA",0.755947136563877,"NRS_CA-10881"
"265",44,"XER",21,0.0666666666666667,1.022,"EPA",0.83005366726297,"NRS_CA-10881"
"266",40,"WMT",17,0.406173842404549,1.022,"EPA",0.585531914893617,"NRS_CA-10885"
"267",39,"WMT",21,0.166666666666667,1.022,"EPA",0.843642611683849,"NRS_CA-10885"
"268",55,"WMT",17,0.625,1.022,"EPA",0.928068803752932,"NRS_CA-10890"
"269",50,"WMT",21,0.5,1.022,"EPA",0.769616026711185,"NRS_CA-10890"
"270",35,"WMT",22,0.125,1.022,"EPA",0.805841924398625,"NRS_CA-10906"
"271",26,"WMT",27,NA,1.022,"EPA",0.76130198915009,"NRS_CA-10906"
"272",35,"XER",22,0.05,1.022,"EPA",0.98122866894198,"NRS_CA-10907"
"273",22,"XER",27,NA,1.022,"EPA",0.91846921797005,"NRS_CA-10907"
"274",34,"XER",22,0.125,1.022,"EPA",0.828231292517007,"NRS_CA-10910"
"275",29,"XER",26,0.05999988000024,1.022,"EPA",0.529220779220779,"NRS_CA-10910"
"276",45,"WMT",22,0.333333333333333,1.022,"EPA",0.86744966442953,"NRS_CA-10914"
"277",47,"XER",22,0.0769230769230769,1.022,"EPA",0.830715532286213,"NRS_CA-10923"
"278",36,"WMT",22,0.0625,1.022,"EPA",0.960377358490566,"NRS_CA-10924"
"279",30,"WMT",22,0.03125,1.022,"EPA",0.766791044776119,"NRS_CA-10928"
"280",14,"XER",22,0.2,1.022,"EPA",0.960655737704918,"NRS_CA-10949"
"281",30,"XER",26,0.56000448003584,1.022,"EPA",0.832520325203252,"NRS_CA-10949"
"282",41,"WMT",22,1,1.022,"EPA",0.722222222222222,"NRS_CA-10966"
"283",48,"WMT",22,0.0769230769230769,1.022,"EPA",0.825,"NRS_CA-11009"
"284",56,"WMT",26,0.63000063000063,1.022,"EPA",0.840197693574959,"NRS_CA-11009"
"285",48,"WMT",22,0.142857142857143,1.022,"EPA",0.75,"NRS_CA-11011"
"286",43,"WMT",26,0.11000011000011,1.022,"EPA",0.911960132890365,"NRS_CA-11011"
"287",46,"XER",22,0.333333333333333,1.022,"EPA",0.916943521594684,"NRS_CA-11043"
"288",27,"WMT",22,0.333333333333333,1.022,"EPA",0.909465020576132,"NRS_CA-11054"
"289",32,"WMT",27,NA,1.022,"EPA",0.578154425612053,"NRS_CA-11054"
"290",50,"WMT",22,0.2,1.022,"EPA",0.938461538461538,"NRS_CA-11076"
"291",43,"WMT",26,0.5,1.022,"EPA",0.955094991364421,"NRS_CA-11076"
"292",32,"WMT",22,0.5,1.022,"EPA",0.981196581196581,"NRS_CA-11099"
"293",35,"WMT",22,0.5,0.929,"EPA",0.820668693009118,"NRS_CA-11103"
"294",39,"WMT",22,0.5,1.022,"EPA",0.946577629382304,"NRS_CA-11106"
"295",40,"WMT",22,1,1.022,"EPA",0.927450980392157,"NRS_CA-11125"
"296",45,"WMT",22,0.333333333333333,1.022,"EPA",0.799632352941177,"NRS_CA-11141"
"297",34,"XER",22,0.5,1.022,"EPA",0.883275261324042,"NRS_CA-11167"
"298",28,"WMT",22,0.333333333333333,1.022,"EPA",0.981666666666667,"NRS_CA-11178"
"299",15,"XER",22,1,1.022,"EPA",0.884364820846905,"NRS_CA-11185"
