"","alpha","Ecoregion_NARS","Year","PropID","AreaSampTot_m2","Agency","Gen_ID_Prop","SiteNumber","landuse","Latitude_dd","Longitude_dd"
"50",39,"SAP",17,0.666666666666667,1.022,"EPA",0.926032660902978,"NRS_AL-10019","Urban",33.424918,-86.77562358
"51",21,"SAP",12,0.5,1.022,"EPA",0.806509945750452,"NRS_AL-10020","Forest_Wetland",33.778638,-85.759662
"52",31,"SAP",17,0.625,1.022,"EPA",0.777153558052434,"NRS_AL-10020","Forest_Wetland",33.77873961,-85.75962636
"53",44,"SAP",12,1,1.022,"EPA",0.863636363636364,"NRS_AL-10023","Forest_Wetland",34.091704,-87.737937
"54",27,"SAP",17,0.687285223367698,1.022,"EPA",0.882462686567164,"NRS_AL-10023","Forest_Wetland",34.09180468,-87.73796193
"55",40,"CPL",12,1,1.022,"EPA",0.966777408637874,"NRS_AL-10024","Forest_Wetland",31.676478,-87.083831
"56",17,"CPL",17,0.5,1.022,"EPA",0.908045977011494,"NRS_AL-10024","Forest_Wetland",31.67663561,-87.08381335
"57",33,"SAP",17,1,1.022,"EPA",0.665929203539823,"NRS_AL-10026","Other",32.99386913,-86.3618639
"58",43,"SAP",12,0.667,1.022,"EPA",0.869070208728653,"NRS_AL-10029","Forest_Wetland",33.2233,-86.888167
"59",62,"SAP",17,0.458295142071494,1.022,"EPA",0.859301227573182,"NRS_AL-10029","Forest_Wetland",33.22341539,-86.88815694
"60",46,"SAP",17,0.416666666666667,1.022,"EPA",0.763940520446097,"NRS_AL-10032","Forest_Wetland",33.26014983,-85.50357137
"61",29,"SAP",21,0.333300003333,1.022,"EPA",0.784584980237154,"NRS_AL-10032","Forest_Wetland",33.26014982,-85.50357137
"62",34,"CPL",27,0.996115150911445,0.372,"EPA",0.931034482758621,"NRS_AL-10034","Forest_Wetland",31.08686327,-87.08175172
"63",20,"CPL",21,1,0.651,"EPA",0.919354838709677,"NRS_AL-10046","Forest_Wetland",32.12422056,-87.52831805
"64",27,"CPL",21,0.8124796880078,1.022,"EPA",0.80511811023622,"NRS_AL-10049","Forest_Wetland",31.86806513,-85.76601507
"65",41,"CPL",17,0.750187546886722,1.022,"EPA",0.651428571428571,"NRS_AL-10051","Forest_Wetland",34.50734375,-88.05036703
"66",28,"CPL",21,0.260403104005,1.022,"EPA",0.195612431444241,"NRS_AL-10051","Forest_Wetland",34.50734375,-88.05036704
"67",39,"CPL",27,1,1.022,"EPA",0.864476386036961,"NRS_AL-10051","Forest_Wetland",34.50734375,-88.05036704
"68",23,"CPL",17,1,1.022,"EPA",0.801541425818882,"NRS_AL-10053","Forest_Wetland",31.30014686,-88.40095587
"69",32,"CPL",17,0.947867298578199,1.022,"EPA",0.903474903474903,"NRS_AL-10058","Forest_Wetland",32.97036777,-87.1982608
"70",27,"CPL",17,0.5,1.022,"EPA",0.879541108986616,"NRS_AL-10061","Forest_Wetland",32.18553827,-86.90636776
"71",39,"CPL",22,1,1.022,"EPA",0.859649122807018,"NRS_AL-10067","Forest_Wetland",31.11972,-86.15249
"72",21,"CPL",27,0.468757324333193,1.022,"EPA",0.828343313373254,"NRS_AL-10069","Forest_Wetland",31.6553882,-86.71585127
"73",44,"SAP",22,0.833333333333333,1.022,"EPA",0.967184801381693,"NRS_AL-10072","Forest_Wetland",33.09741,-85.84587
"74",38,"SAP",21,1,1.022,"EPA",0.845394736842105,"NRS_AL-10083","Forest_Wetland",33.35583,-86.60633
"75",36,"SAP",21,0.218799229826711,1.022,"EPA",0.903409090909091,"NRS_AL-10084","Forest_Wetland",33.11467,-87.11905
"76",37,"SAP",21,0.604193100114797,0.836,"EPA",0.855263157894737,"NRS_AL-10085","Agriculture",34.07899,-86.50564
"77",28,"CPL",21,0.489596083231334,1.022,"EPA",0.962264150943396,"NRS_AL-10086","Forest_Wetland",32.25358,-87.00951
"78",35,"SAP",21,0.52080620801,1.022,"EPA",0.86527514231499,"NRS_AL-10087","Forest_Wetland",34.917856,-86.13294466
"79",50,"SAP",21,0.583294447036864,1.022,"EPA",0.942857142857143,"NRS_AL-10088","Forest_Wetland",33.22326014,-86.88807657
"80",29,"CPL",26,1,1.022,"EPA",0.95,"NRS_AL-10092","Forest_Wetland",33.79484737,-87.85932001
"81",26,"CPL",26,1,1.022,"EPA",0.830396475770925,"NRS_AL-10094","Forest_Wetland",32.21648644,-85.51675754
"82",35,"SAP",26,1,1.022,"EPA",0.888324873096447,"NRS_AL-10095","Forest_Wetland",34.7555821,-85.68075739
"83",31,"CPL",27,0.166666666666667,1.022,"EPA",0.920542635658915,"NRS_AL-10106","Forest_Wetland",32.28881948,-87.29103471
"84",27,"SAP",12,1,1.022,"EPA",0.977011494252874,"NRS_AR-10016","Forest_Wetland",34.986,-93.603316
"85",34,"SAP",16,1,1.022,"EPA",0.738095238095238,"NRS_AR-10016","Forest_Wetland",34.98609295,-93.60350937
"86",34,"SAP",12,0.733,1.022,"EPA",0.831395348837209,"NRS_AR-10017","Forest_Wetland",36.218228,-91.270058
"87",27,"SAP",17,0.729394602479942,1.022,"EPA",0.783088235294118,"NRS_AR-10017","Forest_Wetland",36.21829613,-91.27018957
"88",20,"CPL",17,1,1.022,"EPA",0.982919254658385,"NRS_AR-10025","Agriculture",36.11038631,-90.4500669
"89",18,"SAP",16,1,1.022,"EPA",0.932432432432432,"NRS_AR-10040","Forest_Wetland",34.50655745,-94.18862207
"90",13,"CPL",12,1,0.743,"EPA",0.348837209302326,"NRS_AR-10052","Agriculture",35.008593,-91.81216
"91",30,"CPL",17,0.969932104752667,1.022,"EPA",0.55026455026455,"NRS_AR-10052","Agriculture",35.00868082,-91.81229884
"92",29,"CPL",12,0.567,1.022,"EPA",0.567829457364341,"NRS_AR-10055","Agriculture",33.881211,-93.490334
"93",29,"SAP",21,0.440509228668341,1.022,"EPA",0.922794117647059,"NRS_AR-10063","Forest_Wetland",35.67817479,-93.74408948
"94",42,"SAP",26,0.833333333333333,1.022,"EPA",0.885148514851485,"NRS_AR-10063","Forest_Wetland",35.67817479,-93.74408948
"95",46,"SAP",21,1,1.022,"EPA",0.9,"NRS_AR-10067","Forest_Wetland",34.06488091,-93.44225956
"96",33,"SAP",26,1,1.022,"EPA",0.898218829516539,"NRS_AR-10067","Forest_Wetland",34.06488091,-93.44225956
"97",32,"SAP",17,1,1.022,"EPA",0.945626477541371,"NRS_AR-10072","Agriculture",36.23849513,-91.90776752
"98",33,"SAP",21,0.333300003333,1.022,"EPA",0.942965779467681,"NRS_AR-10072","Agriculture",36.23849513,-91.90776753
"99",22,"CPL",17,0.385356454720617,1.022,"EPA",0.166979362101313,"NRS_AR-10074","Agriculture",35.3466556,-91.32230048
"100",20,"CPL",21,0.38099592334362,1.022,"EPA",0.566854990583804,"NRS_AR-10074","Agriculture",35.34665559,-91.32230048
"101",43,"SAP",17,0.750187546886722,0.743,"EPA",0.886148007590133,"NRS_AR-10078","Forest_Wetland",35.31565061,-92.39585489
"102",31,"SAP",17,0.244021473889702,1.022,"EPA",0.901119402985075,"NRS_AR-10091","Agriculture",35.09489821,-93.4227353
"103",34,"SAP",17,0.562429696287964,1.022,"EPA",0.929856115107914,"NRS_AR-10109","Forest_Wetland",36.11488649,-91.96699076
"104",29,"SAP",21,0.625,1.022,"EPA",0.836466165413534,"NRS_AR-10109","Forest_Wetland",36.11488648,-91.96699076
"105",32,"SAP",26,1,1.022,"EPA",0.877149877149877,"NRS_AR-10109","Forest_Wetland",36.11488648,-91.96699076
"106",24,"SAP",17,0.25,1.022,"EPA",0.91699604743083,"NRS_AR-10112","Forest_Wetland",36.42861166,-93.14634877
"107",24,"SAP",17,0.666666666666667,1.022,"EPA",0.850877192982456,"NRS_AR-10116","Forest_Wetland",35.68548535,-93.52616962
"108",28,"CPL",17,0.25,1.022,"EPA",0.881422924901186,"NRS_AR-10117","Agriculture",33.87304613,-93.50813619
"109",33,"SAP",17,0.58343057176196,1.022,"EPA",0.936538461538462,"NRS_AR-10125","Forest_Wetland",35.71495398,-92.88273831
"110",26,"SAP",17,0.166666666666667,0.929,"EPA",0.958174904942966,"NRS_AR-10127","Agriculture",35.27595613,-92.19925139
"111",34,"SAP",17,1,1.022,"EPA",0.920096852300242,"NRS_AR-10129","Forest_Wetland",34.675951,-92.66396251
"112",16,"CPL",17,0.279798545047566,0.558,"EPA",0.709737827715356,"NRS_AR-10133","Agriculture",35.27584041,-90.23426092
"113",36,"SAP",17,1,1.022,"EPA",0.881974248927039,"NRS_AR-10134","Forest_Wetland",35.06977126,-94.18830486
"114",26,"SAP",17,0.541711809317443,1.022,"EPA",0.840130505709625,"NRS_AR-10135","Forest_Wetland",35.88504238,-91.38636981
"115",15,"CPL",17,0.25,1.022,"EPA",0.885658914728682,"NRS_AR-10137","Agriculture",33.59243625,-91.30695018
"116",26,"SAP",17,1,1.022,"EPA",0.890449438202247,"NRS_AR-10138","Forest_Wetland",34.37706817,-93.20282683
"117",11,"CPL",17,0.0736593989393046,1.022,"EPA",0.909270216962525,"NRS_AR-10140","Agriculture",36.38502921,-90.61339699
"118",24,"SAP",17,0.374953130858643,1.022,"EPA",0.92364990689013,"NRS_AR-10142","Forest_Wetland",34.92202722,-92.953152
"119",19,"SAP",17,1,1.022,"EPA",0.605214152700186,"NRS_AR-10143","Forest_Wetland",34.31157292,-93.75669461
"120",18,"CPL",17,1,1.022,"EPA",0.273006134969325,"NRS_AR-10144","Agriculture",34.09935652,-91.64350158
"121",28,"SAP",17,0.130208333333333,1.022,"EPA",0.942342342342342,"NRS_AR-10145","Forest_Wetland",36.39792656,-92.37061806
"122",35,"SAP",17,0.604229607250755,1.022,"EPA",0.84688995215311,"NRS_AR-10157","Forest_Wetland",34.99955646,-94.10611378
"123",17,"CPL",17,0.357142857142857,0.929,"EPA",0.691910499139415,"NRS_AR-10167","Agriculture",35.80050273,-90.19491663
"124",19,"SAP",17,0.0729181857955374,0.929,"EPA",0.53690036900369,"NRS_AR-10172","Agriculture",35.38950946,-94.09154904
"125",23,"SAP",17,0.750187546886722,1.022,"EPA",0.951178451178451,"NRS_AR-10179","Urban",35.26102285,-93.09442003
"126",13,"SAP",17,1,0.836,"EPA",0.72,"NRS_AR-10187","Agriculture",35.35631354,-93.4637046
"127",27,"CPL",17,1,1.022,"EPA",0.709302325581395,"NRS_AR-10200","Forest_Wetland",33.16635567,-92.52079593
"128",29,"CPL",26,0.440470422411135,1.022,"EPA",0.834932821497121,"NRS_AR-10203","Forest_Wetland",34.78806198,-91.87004886
"129",25,"CPL",21,0.833333333333333,1.022,"EPA",0.947955390334573,"NRS_AR-10204","Forest_Wetland",33.99517,-93.38717
"130",35,"SAP",21,0.656297171359191,1.022,"EPA",0.964285714285714,"NRS_AR-10205","Forest_Wetland",35.56233,-93.28855
"131",30,"SAP",26,1,1.022,"EPA",0.763688760806916,"NRS_AR-10205","Forest_Wetland",35.56232577,-93.28855047
"132",38,"SAP",21,0.291698267312292,1.022,"EPA",0.847426470588235,"NRS_AR-10206","Forest_Wetland",36.1023,-91.6197
"133",35,"SAP",26,0.208333333333333,1.022,"EPA",0.736220472440945,"NRS_AR-10206","Forest_Wetland",36.10229524,-91.61969827
"134",39,"SAP",21,0.166700006668,1.022,"EPA",0.768551236749117,"NRS_AR-10212","Forest_Wetland",35.54235,-93.16002
"135",20,"CPL",21,0.260403104005,1.022,"EPA",0.351063829787234,"NRS_AR-10214","Forest_Wetland",33.19634,-93.39313
"136",29,"SAP",21,0.333300003333,1.022,"EPA",0.798534798534799,"NRS_AR-10217","Forest_Wetland",34.48397,-92.84216
"137",16,"CPL",26,1,1.022,"EPA",0.966312056737589,"NRS_AR-10222","Agriculture",36.43411563,-90.34879978
"138",25,"SAP",26,0.27083389757062,1.022,"EPA",0.310834813499112,"NRS_AR-10226","Forest_Wetland",36.08300385,-91.54011977
"139",22,"CPL",26,1,1.022,"EPA",0.990049751243781,"NRS_AR-10230","Forest_Wetland",34.64473299,-91.29251055
"140",18,"CPL",26,0.0468750732423019,1.022,"EPA",0.975881261595547,"NRS_AR-10236","Agriculture",35.86551219,-90.84473388
"141",23,"SAP",26,0.583328472262731,1.022,"EPA",0.891992551210428,"NRS_AR-10238","Forest_Wetland",34.28039517,-94.44835594
"142",32,"SAP",26,0.31380424890953,0.929,"EPA",0.612648221343874,"NRS_AR-10239","Forest_Wetland",36.0964581,-92.11822359
"143",35,"SAP",26,0.15625,1.022,"EPA",0.966269841269841,"NRS_AR-10241","Agriculture",35.52203628,-94.07139992
"144",24,"XER",8,0.15,1.022,"EPA",0.841392649903288,"NRS_AZ-10012","Other",32.87094,-109.19751
"145",23,"XER",17,0.0297619047619048,1.022,"EPA",0.905241935483871,"NRS_AZ-10012","Other",32.87100703,-109.1981321
"146",21,"WMT",8,0.325,1.022,"EPA",0.67984934086629,"NRS_AZ-10041","Other",33.9124,-109.35581
"147",18,"XER",8,0.0333,1.022,"EPA",0.911067193675889,"NRS_AZ-10059","Other",34.35257,-113.21808
"148",27,"XER",17,0.19790223629527,1.022,"EPA",0.951020408163265,"NRS_AZ-10059","Other",34.35259107,-113.2188311
"149",15,"XER",10,0.2083,1.022,"EPA",0.870967741935484,"NRS_AZ-10081","Other",36.11783,-112.08298
"150",17,"XER",17,0.25,1.022,"EPA",0.994106090373281,"NRS_AZ-10081","Other",36.1178128,-112.0837041
"151",23,"WMT",9,0.5833,1.022,"EPA",0.812267657992565,"NRS_AZ-10174","Forest_Wetland",33.75989,-109.43339
"152",23,"WMT",17,0.25,1.022,"EPA",0.939962476547842,"NRS_AZ-10174","Forest_Wetland",33.75994138,-109.4340308
"153",27,"WMT",11,1,1.022,"EPA",0.913838120104439,"NRS_AZ-10311","Forest_Wetland",34.19256,-111.03606
"154",20,"WMT",17,0.140627197299958,1.022,"EPA",0.953125,"NRS_AZ-10311","Forest_Wetland",34.19259994,-111.0367437
"155",6,"XER",17,0.15852885225111,1.022,"EPA",0.654440154440154,"NRS_AZ-10432","Other",32.40882122,-111.1606295
"156",6,"XER",21,0.0573000229200092,1.022,"EPA",0.702199661590524,"NRS_AZ-10432","Other",32.40882122,-111.1606295
"157",19,"XER",27,0.0625,1.022,"EPA",0.961538461538462,"NRS_AZ-10432","Other",32.40882122,-111.1606295
"158",31,"XER",17,0.161446561188247,1.022,"EPA",0.872113676731794,"NRS_AZ-10435","Other",33.29395085,-109.494703
"159",32,"XER",22,0.25,1.022,"EPA",0.972727272727273,"NRS_AZ-10435","Other",33.29395085,-109.494703
"160",26,"XER",17,0.625,1.022,"EPA",0.957142857142857,"NRS_AZ-10437","Other",34.57310158,-110.0745709
"161",33,"WMT",17,0.874890638670166,1.022,"EPA",0.898897058823529,"NRS_AZ-10441","Other",34.53135184,-111.8406707
"162",23,"WMT",17,0.0625,1.022,"EPA",0.835420393559928,"NRS_AZ-10457","Other",34.23975405,-112.0670972
"163",26,"WMT",17,1,1.022,"EPA",0.916167664670659,"NRS_AZ-10461","Other",34.88683609,-112.3247841
"164",17,"XER",17,1,1.022,"EPA",0.772563176895307,"NRS_AZ-10463","Other",36.860876,-113.9534472
"165",24,"XER",17,0.0297619047619048,1.022,"EPA",0.861480075901328,"NRS_AZ-10488","Other",33.10544383,-109.299405
"166",10,"XER",17,0.0535704719558579,1.022,"EPA",0.469473684210526,"NRS_AZ-10503","Agriculture",32.71136818,-114.3204076
"167",27,"XER",17,0.179694519317161,1.022,"EPA",0.975285171102662,"NRS_AZ-10513","Other",33.8736257,-111.3058217
"168",23,"XER",17,0.166666666666667,1.022,"EPA",0.940594059405941,"NRS_AZ-10520","Other",32.71967085,-109.0974956
"169",29,"XER",17,0.812347684809098,1.022,"EPA",0.93040293040293,"NRS_AZ-10547","Other",32.89332433,-109.7940786
"170",29,"XER",17,0.0468757324333193,1.022,"EPA",0.792843691148776,"NRS_AZ-10552","Other",33.02098181,-109.2997034
"171",32,"XER",17,0.048828125,1.022,"EPA",0.82312925170068,"NRS_AZ-10568","Other",33.08808747,-109.4624855
"172",24,"WMT",17,0.0357142857142857,1.022,"EPA",0.891143911439114,"NRS_AZ-10584","Forest_Wetland",33.67588001,-109.0840924
"173",20,"WMT",21,1,1.022,"EPA",0.765917602996255,"NRS_AZ-10584","Forest_Wetland",33.67588001,-109.0840924
"174",15,"XER",17,0.333333333333333,1.022,"EPA",0.281496062992126,"NRS_AZ-10607","Other",31.56235429,-111.0460433
"175",14,"WMT",17,0.145836371591075,1.022,"EPA",0.988950276243094,"NRS_AZ-10612","Other",34.37598408,-110.0121231
"176",9,"XER",22,0.25,1.022,"EPA",0.981718464351006,"NRS_AZ-10619","Other",36.70098,-110.5256
"177",37,"XER",22,0.0714000114240018,1.022,"EPA",0.966911764705882,"NRS_AZ-10625","Other",31.51466,-110.1282
"178",22,"XER",27,0.0208333333333333,1.022,"EPA",0.96455223880597,"NRS_AZ-10625","Other",31.5146622,-110.1281584
"179",33,"WMT",21,0.161699788173277,1.022,"EPA",0.890438247011952,"NRS_AZ-10626","Other",34.86995,-112.0693
"180",25,"WMT",27,0.166666666666667,1.022,"EPA",0.954901960784314,"NRS_AZ-10626","Other",34.86995019,-112.0693494
"181",12,"XER",22,0.906289650172195,1.022,"EPA",0.948669201520912,"NRS_AZ-10634","Other",36.72811,-110.5395
"182",30,"XER",22,1,1.022,"EPA",0.557692307692308,"NRS_AZ-10643","Other",33.71384,-110.8185
"183",20,"WMT",22,0.666711114074272,1.022,"EPA",0.68503937007874,"NRS_AZ-10654","Forest_Wetland",33.87832,-109.2865
"184",18,"XER",21,0.181399314310592,0.836,"EPA",0.46875,"NRS_AZ-10657","Other",34.16182,-109.3017
"185",20,"XER",27,0.291664236131366,1.022,"EPA",0.981167608286252,"NRS_AZ-10662","Other",33.97792179,-111.3062761
"186",31,"WMT",22,0.11000011000011,1.022,"EPA",0.926499032882012,"NRS_AZ-10665","Other",33.29637,-109.1921
"187",14,"WMT",27,0.25,1.115,"EPA",0.974025974025974,"NRS_AZ-10665","Other",33.29637167,-109.1921199
"188",14,"WMT",21,0.25,1.022,"EPA",0.335664335664336,"NRS_AZ-10670","Forest_Wetland",33.89019,-109.472
"189",19,"WMT",27,1,1.022,"EPA",0.893805309734513,"NRS_AZ-10670","Forest_Wetland",33.8901935,-109.4719997
"190",30,"WMT",22,0.0625,1.022,"EPA",0.908771929824561,"NRS_AZ-10675","Forest_Wetland",36.4193,-109.1022
"191",29,"WMT",27,1,1.022,"EPA",0.916492693110647,"NRS_AZ-10675","Forest_Wetland",36.41929761,-109.1022501
"192",28,"WMT",21,0.10420031468495,1.022,"EPA",0.949119373776908,"NRS_AZ-10679","Forest_Wetland",34.33749,-111.0138
"193",27,"XER",22,0.273403324584427,1.022,"EPA",0.71455938697318,"NRS_AZ-10680","Forest_Wetland",31.88153,-109.2165
"194",22,"XER",22,0.0714000114240018,1.022,"EPA",0.877061469265367,"NRS_AZ-10685","Other",36.8397,-110.6755
"195",8,"WMT",27,1,1.022,"EPA",0.969529085872576,"NRS_AZ-10690","Forest_Wetland",36.85445727,-109.2076534
"196",22,"WMT",27,0.562492968837889,1.022,"EPA",0.962476547842402,"NRS_AZ-10695","Forest_Wetland",34.90988112,-111.7278663
"197",18,"XER",27,0.0416666666666667,1.022,"EPA",0.977358490566038,"NRS_AZ-10701","Agriculture",32.9203805,-109.8384095
"198",20,"WMT",27,0.328127050794067,0.929,"EPA",0.979553903345725,"NRS_AZ-10729","Other",34.22693406,-111.4564145
"199",17,"XER",27,0.5,1.022,"EPA",0.971880492091388,"NRS_AZ-10730","Other",32.91215187,-110.477373
"200",25,"WMT",8,0.0333,1.022,"EPA",0.892523364485981,"NRS_CA-10003","Forest_Wetland",37.68178,-119.53587
"201",20,"WMT",17,0.140627197299958,1.022,"EPA",0.967416602017067,"NRS_CA-10003","Other",37.68170866,-119.5368614
"202",33,"WMT",8,0.2125,1.022,"EPA",0.828451882845188,"NRS_CA-10087","Forest_Wetland",40.62725,-123.37293
"203",29,"WMT",17,0.157505118916365,1.022,"EPA",0.840869565217391,"NRS_CA-10087","Forest_Wetland",40.62711397,-123.3740755
"204",16,"XER",9,0.125,1.022,"EPA",0.910536779324056,"NRS_CA-10124","Urban",38.67552,-121.44613
"205",26,"XER",16,0.0625,1.022,"EPA",0.915924826904055,"NRS_CA-10124","Urban",38.67542306,-121.4471954
"206",28,"WMT",9,0.15,1.022,"EPA",0.483809523809524,"NRS_CA-10150","Other",32.89957,-116.58789
"207",22,"WMT",16,0.0625,1.022,"EPA",0.731683168316832,"NRS_CA-10150","Other",32.89961947,-116.5887422
"208",37,"XER",10,0.05,1.022,"EPA",0.615853658536585,"NRS_CA-10165","Other",34.7477,-120.05303
"209",32,"XER",16,0.2,1.022,"EPA",0.778604651162791,"NRS_CA-10165","Other",34.74768352,-120.0540091
"210",41,"XER",9,0.0625,1.022,"EPA",0.931034482758621,"NRS_CA-10207","Other",39.44212,-122.63613
"211",41,"XER",17,0.458295142071494,1.022,"EPA",0.882769472856019,"NRS_CA-10207","Other",39.44200189,-122.637233
"212",33,"WMT",9,0.0875,1.022,"EPA",0.781779661016949,"NRS_CA-10285","Forest_Wetland",42.003,-122.76312
"213",31,"WMT",16,0.0625,1.022,"EPA",0.738831615120275,"NRS_CA-10285","Forest_Wetland",42.00285652,-122.764264
"214",26,"XER",9,0.125,1.022,"EPA",0.881048387096774,"NRS_CA-10300","Other",38.3109,-119.34293
"215",24,"XER",16,0.0288500375050488,1.022,"EPA",0.829308909242298,"NRS_CA-10300","Other",38.31081734,-119.3439232
